movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
sniffing,45.70842537077942,46.0,60.71289565217391,306.67561555555557,male,Morning_Light-on,1
rising,16.85074155885137,32.0,34.66411875,454.1408419354838,male,Morning_Light-on,1
hunching,1.4831177027453455,3.0,33.0,939.0,male,Morning_Light-on,1
rearing,1.846008204480909,8.0,15.375,1266.142857142857,male,Morning_Light-on,1
climbing,18.507415588513727,24.0,52.940325,521.7203826086957,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,2.130009466708741,3.0,46.333333333333336,5476.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,7.115809403597349,1.0,451.0,0.0,male,Morning_Light-on,1
running,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
trotting,0.1750756008276301,0.0,0.0,0.0,male,Morning_Light-on,1
left_turning,3.565175871399013,6.0,13.666666666666666,1945.6,male,Morning_Light-on,1
right_turning,2.912621359223301,4.0,31.75,3052.3333333333335,male,Morning_Light-on,1
walking,3.1831927423205473,1.0,15.0,0.0,male,Morning_Light-on,1
stepping,2.2123189559127803,3.0,38.333333333333336,7305.0,male,Morning_Light-on,1
sniffing,32.24574247970715,35.0,54.599079999999994,449.0292852941176,male,Morning_Light-on,1
rising,14.865510106636956,27.0,33.07945185185185,620.3064807692308,male,Morning_Light-on,1
hunching,1.0186216775425754,4.0,15.5,5092.333333333333,male,Morning_Light-on,1
rearing,3.8834951456310676,8.0,31.875,2240.1428571428573,male,Morning_Light-on,1
climbing,33.88508674200223,33.0,64.8215212121212,470.64305625,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,2.053159318796753,3.0,43.333333333333336,5560.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,0.031456432840515886,0.0,0.0,0.0,female,Night_Light-on,3
trotting,0.28310789556464294,0.0,0.0,0.0,female,Night_Light-on,3
left_turning,6.2598301352626615,8.0,36.875,1748.2857142857142,female,Night_Light-on,3
right_turning,1.7301038062283738,3.0,18.333333333333332,3404.0,female,Night_Light-on,3
walking,5.127398553004089,4.0,29.5,5654.333333333333,female,Night_Light-on,3
stepping,3.2557407989933944,5.0,48.2,2056.0,female,Night_Light-on,3
sniffing,40.12268008807801,41.0,63.337165853658526,380.1196825,female,Night_Light-on,3
rising,13.022963195973578,33.0,26.146960606060606,502.731853125,female,Night_Light-on,3
hunching,1.6042780748663104,5.0,20.4,3967.0,female,Night_Light-on,3
rearing,4.026423403586033,9.0,26.88888888888889,2031.375,female,Night_Light-on,3
climbing,24.520289399182133,31.0,50.20277096774194,497.3905866666667,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,0.015728216420257943,0.0,0.0,0.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
running,0.0,0.0,0.0,0.0,male,Night_Light-on,3
trotting,0.18176733780760626,0.0,0.0,0.0,male,Night_Light-on,3
left_turning,4.054809843400448,9.0,25.333333333333332,1573.875,male,Night_Light-on,3
right_turning,1.929530201342282,5.0,23.8,2968.5,male,Night_Light-on,3
walking,2.4328859060402683,3.0,23.333333333333332,5168.5,male,Night_Light-on,3
stepping,0.8808724832214765,2.0,43.5,4639.0,male,Night_Light-on,3
sniffing,41.62472035794183,48.0,60.43969583333334,254.61659361702124,male,Night_Light-on,3
rising,12.569910514541387,37.0,25.94157297297297,409.11915,male,Night_Light-on,3
hunching,6.8512304250559275,17.0,28.06395294117647,902.407075,male,Night_Light-on,3
rearing,3.131991051454139,11.0,22.052763636363636,1575.0057800000002,male,Night_Light-on,3
climbing,22.888702460850112,28.0,59.5963,411.54981851851846,male,Night_Light-on,3
