revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
left_turning,0,34,34,45.18198866718857,17.705715118241226
sniffing,35,52,17,19.886376115639592,21.092300312900413
stepping,53,61,8,59.06192165254393,20.227371745688874
sniffing,62,202,140,30.91308026276724,21.2514764145463
walking,203,258,55,120.31150743184287,19.5620903618032
stepping,259,314,55,77.06686983435387,18.34658680819811
sniffing,315,381,66,25.61578661397572,18.943072889961623
walking,382,467,85,141.68486973347004,20.036124694331107
sniffing,468,529,61,16.45734474565251,18.017754899807535
stepping,530,554,24,49.45305411259561,18.431618445242094
walking,555,637,82,134.2942529091633,19.88712644612292
sniffing,638,692,54,24.857067107023767,15.218676711995583
stepping,693,727,34,87.03225134983109,15.671007793062332
sniffing,728,769,41,38.14300996306217,18.79420041161762
stepping,770,828,58,68.8800010825366,19.726064137909532
walking,829,926,97,157.94324049944976,19.81079949093419
sniffing,927,966,39,24.557675320185677,18.01345419702138
walking,967,981,14,116.62724497041727,22.63413947559187
sniffing,982,1066,84,48.676798537573056,21.812815741152885
stepping,1067,1097,30,59.31537739199949,23.22697621969086
walking,1098,1176,78,165.17805670981792,20.135916342500696
sniffing,1177,1250,73,8.608494626908291,19.446055172206403
stepping,1251,1269,18,60.361940159797435,18.37434269076018
sniffing,1270,1416,146,25.37501325553291,22.976454438655775
left_turning,1417,1440,23,103.55766482079184,20.97487985518431
sniffing,1441,1515,74,16.2563293322454,20.096157830139965
stepping,1516,1522,6,28.298755827386042,20.864450285524573
sniffing,1523,1557,34,13.321137907181699,23.993427717403964
left_turning,1558,1599,41,38.398032074898914,21.152646984625306
sniffing,1600,1623,23,23.104458939985992,21.49526040916177
walking,1624,1682,58,169.30804108123988,21.24625283454579
left_turning,1683,1719,36,56.049795014746735,19.539588598217588
sniffing,1720,1728,8,26.83176628899573,17.713322756406406
walking,1729,1758,29,59.572526396407525,21.562263543079812
sniffing,1759,1860,101,33.80240558992157,19.256203597139397
walking,1861,1899,38,119.68608728942897,23.322892739167145
sniffing,1900,2009,109,33.25756158436115,23.12508829319043
walking,2010,2031,21,131.1132883626505,23.015773279507314
sniffing,2032,2109,77,42.90013206742943,18.662182286223633
stepping,2110,2129,19,85.85202958572826,24.34593709047108
sniffing,2130,2171,41,32.121694689439046,26.031322083669654
stepping,2172,2178,6,54.54683264062603,23.183436744718108
sniffing,2179,2341,162,28.74166484711033,23.282435521276234
rising,2342,2401,59,17.53591025905012,33.72146090818815
hunching,2402,2441,39,14.964570969608587,34.63878662743981
sniffing,2442,2524,82,18.241953802853658,29.5648884742431
walking,2525,2564,39,143.52684014205224,23.432367640164546
trotting,2565,2595,30,185.02270600300085,20.45212100482735
stepping,2596,2636,40,65.86345181875048,20.91699779835756
sniffing,2637,2654,17,22.002129962414184,17.060620849795505
left_turning,2655,2683,28,72.78606455835626,22.749178178113777
walking,2684,2773,89,160.45239765873072,20.717019013308374
sniffing,2774,2823,49,35.702274606303234,21.89785272572963
walking,2824,2851,27,98.58114148309495,19.63397600894636
sniffing,2852,2962,110,34.53725913134752,19.459392097597362
walking,2963,2981,18,157.4554271047031,24.982180903613433
stepping,2982,3032,50,71.30856412149274,24.186965852440437
left_turning,3033,3091,58,41.51916290376357,18.771808547983298
sniffing,3092,3102,10,36.51562198885808,28.41423952453539
hunching,3103,3134,31,45.31742484399643,41.788664744223965
sniffing,3135,3278,143,15.254789335780439,22.496763911765672
stepping,3279,3321,42,56.16775191805122,26.943254695275485
walking,3322,3398,76,105.05840492843615,23.640571558472516
sniffing,3399,3461,62,29.384023481716888,22.703596311151216
walking,3462,3498,36,101.85619469278758,21.891035478806412
sniffing,3499,3555,56,15.910386914106383,22.33167642974762
right_turning,3556,3570,14,58.72618121053658,19.88380217251523
sniffing,3571,3600,29,18.2995334764538,22.509530896317653
pausing,3601,3751,150,9.42391125559355,19.257310635078692
sniffing,3752,3770,18,15.416119135334187,16.88174792045877
grooming,3771,3811,40,21.876805956149568,21.64781555629354
sniffing,3812,3827,15,15.678795821395063,16.84671845202954
stepping,3828,3834,6,36.15745577120702,22.154420816298202
sniffing,3835,3919,84,20.877087351966683,24.438209703052763
walking,3920,3975,55,120.12184196694638,24.99363084008899
trotting,3976,4025,49,190.6864739407327,21.122609892489255
sniffing,4026,4048,22,17.07978205970575,18.404608740494986
stepping,4049,4098,49,46.75184791827642,22.73340262313387
walking,4099,4143,44,157.84114345921722,19.90305964810973
sniffing,4144,4189,45,22.182069039151227,17.455660153887415
rising,4190,4219,29,57.856679537984355,35.87481573913063
stepping,4220,4242,22,77.00504989888718,23.050933636412953
sniffing,4243,4272,29,17.22318719043918,19.207320951688857
grooming,4273,4296,23,49.33135031490652,24.05516882565387
rising,4297,4312,15,42.27455585022011,32.1703206355383
climbing,4313,4364,51,23.024259340025253,53.18981336537445
rearing,4365,4373,8,53.1342389464019,33.14264217806837
sniffing,4374,4383,9,89.20999212762476,26.172059420364274
left_turning,4384,4410,26,87.4679209396157,24.459013012823956
walking,4411,4443,32,157.23187293215398,26.440739050825762
trotting,4444,4489,45,195.89914029073964,19.67092035157811
walking,4490,4539,49,117.79108473038677,19.935644437027992
stepping,4540,4593,53,62.052922641296355,18.93763633129669
sniffing,4594,4637,43,24.133157797234905,22.37023638062462
hunching,4638,4668,30,41.99130131115229,40.95052586737244
sniffing,4669,4730,61,24.69599967369965,27.152648964312807
walking,4731,4821,90,155.33438212650913,23.023808159363668
sniffing,4822,4866,44,24.39498904287357,22.389187754808567
climbing,4867,4926,59,27.055759486966902,51.761810475178756
rearing,4927,4952,25,35.023293989827266,39.848453108832175
stepping,4953,4974,21,82.92812945634145,26.040188676939298
sniffing,4975,5030,55,16.95587868621696,23.506847895804395
walking,5031,5168,137,131.54751437328395,24.86114528205167
sniffing,5169,5198,29,28.82148139826303,24.46928373292389
right_turning,5199,5216,17,45.3248685564619,28.089688782972573
stepping,5217,5261,44,46.11513528218235,27.712983426144113
walking,5262,5316,54,159.48671527600348,25.416830004444076
rising,5317,5335,18,30.089356601250476,31.021572521068098
rearing,5336,5356,20,39.909938143550505,46.53976397231041
sniffing,5357,5399,42,59.95750150430629,23.030490387789204
left_turning,5400,5425,25,55.73063293621219,25.169748817337204
sniffing,5426,5465,39,9.831459946656853,27.95586957013389
stepping,5466,5494,28,58.50747081490554,20.949132985562265
walking,5495,5504,9,41.566557619997454,29.30304330286926
climbing,5505,5536,31,38.59010342852231,43.51709493695866
