revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
rising,58,0,58,58
climbing,105,58,105,47
left_turning,124,105,124,19
sniffing,163,124,163,39
rising,223,163,223,60
climbing,306,223,306,83
rising,336,306,336,30
sniffing,377,336,377,41
rising,431,377,431,54
right_turning,466,431,466,35
walking,533,466,533,67
right_turning,553,533,553,20
walking,596,553,596,43
sniffing,665,596,665,69
rising,666,665,666,1
sniffing,670,666,670,4
climbing,694,670,694,24
rising,774,694,774,80
climbing,812,774,812,38
sniffing,813,812,813,1
walking,831,813,831,18
right_turning,832,831,832,1
rising,922,832,922,90
walking,923,922,923,1
climbing,957,923,957,34
sniffing,973,957,973,16
climbing,1022,973,1022,49
sniffing,1059,1022,1059,37
left_turning,1090,1059,1090,31
sniffing,1138,1090,1138,48
rearing,1231,1138,1231,93
climbing,1271,1231,1271,40
trotting,1337,1271,1337,66
walking,1378,1337,1378,41
rising,1384,1378,1384,6
climbing,1389,1384,1389,5
rising,1418,1389,1418,29
climbing,1450,1418,1450,32
trotting,1478,1450,1478,28
walking,1488,1478,1488,10
sniffing,1490,1488,1490,2
trotting,1499,1490,1499,9
walking,1575,1499,1575,76
sniffing,1584,1575,1584,9
walking,1604,1584,1604,20
trotting,1624,1604,1624,20
rising,1664,1624,1664,40
walking,1720,1664,1720,56
sniffing,1809,1720,1809,89
climbing,1835,1809,1835,26
rising,1893,1835,1893,58
right_turning,1901,1893,1901,8
trotting,1911,1901,1911,10
climbing,1971,1911,1971,60
right_turning,1977,1971,1977,6
walking,2072,1977,2072,95
sniffing,2073,2072,2073,1
walking,2169,2073,2169,96
climbing,2228,2169,2228,59
sniffing,2265,2228,2265,37
rising,2326,2265,2326,61
climbing,2373,2326,2373,47
trotting,2413,2373,2413,40
sniffing,2414,2413,2414,1
climbing,2498,2414,2498,84
sniffing,2499,2498,2499,1
trotting,2523,2499,2523,24
sniffing,2557,2523,2557,34
walking,2589,2557,2589,32
sniffing,2705,2589,2705,116
rising,2774,2705,2774,69
climbing,2832,2774,2832,58
grooming,2833,2832,2833,1
walking,2857,2833,2857,24
sniffing,2858,2857,2858,1
climbing,2889,2858,2889,31
walking,2993,2889,2993,104
rising,3118,2993,3118,125
sniffing,3151,3118,3151,33
climbing,3165,3151,3165,14
rising,3208,3165,3208,43
walking,3279,3208,3279,71
sniffing,3407,3279,3407,128
climbing,3447,3407,3447,40
walking,3481,3447,3481,34
left_turning,3496,3481,3496,15
walking,3590,3496,3590,94
sniffing,3591,3590,3591,1
walking,3609,3591,3609,18
rearing,3741,3609,3741,132
rising,3742,3741,3742,1
walking,3765,3742,3765,23
sniffing,3808,3765,3808,43
walking,3809,3808,3809,1
rearing,3869,3809,3869,60
left_turning,3888,3869,3888,19
trotting,3909,3888,3909,21
walking,3934,3909,3934,25
sniffing,3958,3934,3958,24
rearing,4041,3958,4041,83
