revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
trotting,8217,8186,8217,31
left_turning,8338,8217,8338,121
walking,8378,8338,8378,40
rising,8383,8378,8383,5
sniffing,8568,8383,8568,185
trotting,8629,8568,8629,61
walking,8740,8629,8740,111
rising,8795,8740,8795,55
sniffing,8825,8795,8825,30
left_turning,8838,8825,8838,13
sniffing,8906,8838,8906,68
climbing,8924,8906,8924,18
stepping,8959,8924,8959,35
sniffing,8991,8959,8991,32
climbing,9024,8991,9024,33
rising,9086,9024,9086,62
sniffing,9116,9086,9116,30
rising,9167,9116,9167,51
climbing,9182,9167,9182,15
right_turning,9183,9182,9183,1
walking,9184,9183,9184,1
sniffing,9223,9184,9223,39
climbing,9263,9223,9263,40
trotting,9288,9263,9288,25
sniffing,9289,9288,9289,1
climbing,9303,9289,9303,14
sniffing,9327,9303,9327,24
trotting,9363,9327,9363,36
sniffing,9423,9363,9423,60
left_turning,9469,9423,9469,46
trotting,9496,9469,9496,27
climbing,9565,9496,9565,69
walking,9566,9565,9566,1
sniffing,9617,9566,9617,51
rising,9633,9617,9633,16
climbing,9703,9633,9703,70
sniffing,9756,9703,9756,53
right_turning,9798,9756,9798,42
walking,9880,9798,9880,82
sniffing,9935,9880,9935,55
left_turning,9995,9935,9995,60
sniffing,10014,9995,10014,19
climbing,10039,10014,10039,25
sniffing,10082,10039,10082,43
rising,10160,10082,10160,78
left_turning,10171,10160,10171,11
walking,10229,10171,10229,58
rising,10230,10229,10230,1
sniffing,10304,10230,10304,74
trotting,10352,10304,10352,48
sniffing,10405,10352,10405,53
climbing,10424,10405,10424,19
running,10425,10424,10425,1
walking,10460,10425,10460,35
sniffing,10522,10460,10522,62
walking,10523,10522,10523,1
right_turning,10574,10523,10574,51
walking,10631,10574,10631,57
sniffing,10639,10631,10639,8
walking,10646,10639,10646,7
sniffing,10647,10646,10647,1
grooming,11126,10647,11126,479
sniffing,11127,11126,11127,1
left_turning,11144,11127,11144,17
walking,11167,11144,11167,23
left_turning,11212,11167,11212,45
walking,11258,11212,11258,46
rising,11311,11258,11311,53
sniffing,11372,11311,11372,61
walking,11373,11372,11373,1
rising,11470,11373,11470,97
walking,11521,11470,11521,51
stepping,11534,11521,11534,13
climbing,11593,11534,11593,59
walking,11603,11593,11603,10
climbing,11651,11603,11651,48
rising,11652,11651,11652,1
stepping,11703,11652,11703,51
sniffing,11777,11703,11777,74
trotting,11826,11777,11826,49
left_turning,11827,11826,11827,1
right_turning,11838,11827,11838,11
rising,11859,11838,11859,21
right_turning,11884,11859,11884,25
sniffing,11891,11884,11891,7
rising,11892,11891,11892,1
climbing,11915,11892,11915,23
trotting,11953,11915,11953,38
sniffing,12017,11953,12017,64
walking,12106,12017,12106,89
left_turning,12107,12106,12107,1
trotting,12119,12107,12119,12
walking,12135,12119,12135,16
sniffing,12159,12135,12159,24
walking,12201,12159,12201,42
left_turning,12223,12201,12223,22
climbing,12272,12223,12272,49
sniffing,12318,12272,12318,46
right_turning,12380,12318,12380,62
running,12412,12380,12412,32
sniffing,12498,12412,12498,86
walking,12499,12498,12499,1
trotting,12518,12499,12518,19
walking,12541,12518,12541,23
climbing,12584,12541,12584,43
walking,12588,12584,12588,4
sniffing,12658,12588,12658,70
climbing,12659,12658,12659,1
sniffing,12762,12659,12762,103
rising,12763,12762,12763,1
walking,12815,12763,12815,52
rising,12858,12815,12858,43
sniffing,12899,12858,12899,41
hunching,12991,12899,12991,92
right_turning,13023,12991,13023,32
walking,13053,13023,13053,30
sniffing,13144,13053,13144,91
right_turning,13146,13144,13146,2
stepping,13147,13146,13147,1
walking,13215,13147,13215,68
stepping,13236,13215,13236,21
climbing,13256,13236,13256,20
sniffing,13268,13256,13268,12
walking,13306,13268,13306,38
left_turning,13342,13306,13342,36
sniffing,13447,13342,13447,105
walking,13448,13447,13448,1
right_turning,13466,13448,13466,18
trotting,13474,13466,13474,8
left_turning,13507,13474,13507,33
sniffing,13528,13507,13528,21
left_turning,13545,13528,13545,17
sniffing,13614,13545,13614,69
rising,13675,13614,13675,61
left_turning,13677,13675,13677,2
trotting,13764,13677,13764,87
walking,13770,13764,13770,6
rising,13871,13770,13871,101
right_turning,13882,13871,13882,11
sniffing,13930,13882,13930,48
walking,13931,13930,13931,1
sniffing,13955,13931,13955,24
climbing,13994,13955,13994,39
sniffing,14282,13994,14282,288
rising,14283,14282,14283,1
sniffing,14311,14283,14311,28
right_turning,14358,14311,14358,47
hunching,14515,14358,14515,157
sniffing,14516,14515,14516,1
walking,14576,14516,14576,60
sniffing,14625,14576,14625,49
rising,14671,14625,14671,46
right_turning,14688,14671,14688,17
sniffing,14749,14688,14749,61
climbing,14776,14749,14776,27
rearing,14799,14776,14799,23
walking,14872,14799,14872,73
left_turning,14898,14872,14898,26
walking,14929,14898,14929,31
sniffing,14952,14929,14952,23
climbing,14971,14952,14971,19
rising,15025,14971,15025,54
sniffing,15047,15025,15047,22
left_turning,15064,15047,15064,17
walking,15148,15064,15148,84
sniffing,15149,15148,15149,1
walking,15174,15149,15174,25
sniffing,15233,15174,15233,59
climbing,15271,15233,15271,38
rising,15280,15271,15280,9
sniffing,15320,15280,15320,40
climbing,15388,15320,15388,68
left_turning,15389,15388,15389,1
walking,15442,15389,15442,53
sniffing,15505,15442,15505,63
climbing,15547,15505,15547,42
trotting,15606,15547,15606,59
walking,15645,15606,15645,39
sniffing,15671,15645,15671,26
climbing,15732,15671,15732,61
rising,15733,15732,15733,1
walking,15801,15733,15801,68
rising,15972,15801,15972,171
climbing,16000,15972,16000,28
sniffing,16048,16000,16048,48
left_turning,16113,16048,16113,65
sniffing,16191,16113,16191,78
walking,16203,16191,16203,12
rising,16204,16203,16204,1
climbing,16285,16204,16285,81
rising,16286,16285,16286,1
sniffing,16287,16286,16287,1
stepping,16315,16287,16315,28
climbing,16351,16315,16351,36
trotting,16378,16351,16378,27
climbing,16401,16378,16401,23
sniffing,16402,16401,16402,1
hunching,16499,16402,16499,97
rising,16556,16499,16556,57
rearing,16557,16556,16557,1
grooming,16562,16557,16562,5
sniffing,16588,16562,16588,26
rearing,16795,16588,16795,207
rising,16796,16795,16796,1
walking,16821,16796,16821,25
sniffing,16862,16821,16862,41
rising,16913,16862,16913,51
sniffing,16994,16913,16994,81
hunching,17051,16994,17051,57
walking,17068,17051,17068,17
sniffing,17185,17068,17185,117
walking,17237,17185,17237,52
stepping,17291,17237,17291,54
rising,17320,17291,17320,29
sniffing,17386,17320,17386,66
running,17400,17386,17400,14
sniffing,17425,17400,17425,25
left_turning,17441,17425,17441,16
running,17458,17441,17458,17
walking,17489,17458,17489,31
left_turning,17505,17489,17505,16
sniffing,17598,17505,17598,93
climbing,17622,17598,17622,24
sniffing,17623,17622,17623,1
walking,17649,17623,17649,26
stepping,17699,17649,17699,50
left_turning,17745,17699,17745,46
sniffing,17865,17745,17865,120
rising,17956,17865,17956,91
left_turning,17970,17956,17970,14
rising,18035,17970,18035,65
hunching,18051,18035,18051,16
climbing,18072,18051,18072,21
hunching,18233,18072,18233,161
climbing,18280,18233,18280,47
rising,18496,18280,18496,216
climbing,18528,18496,18528,32
walking,18529,18528,18529,1
sniffing,18622,18529,18622,93
walking,18659,18622,18659,37
sniffing,18689,18659,18689,30
rising,18703,18689,18703,14
walking,18746,18703,18746,43
stepping,18751,18746,18751,5
left_turning,18752,18751,18752,1
walking,18753,18752,18753,1
rising,18790,18753,18790,37
climbing,18865,18790,18865,75
sniffing,18866,18865,18866,1
walking,18891,18866,18891,25
left_turning,18937,18891,18937,46
sniffing,18973,18937,18973,36
rearing,19021,18973,19021,48
sniffing,19117,19021,19117,96
left_turning,19123,19117,19123,6
rising,19198,19123,19198,75
climbing,19252,19198,19252,54
walking,19253,19252,19253,1
right_turning,19314,19253,19314,61
walking,19315,19314,19315,1
trotting,19367,19315,19367,52
walking,19398,19367,19398,31
sniffing,19442,19398,19442,44
climbing,19517,19442,19517,75
rising,19538,19517,19538,21
left_turning,19573,19538,19573,35
walking,19574,19573,19574,1
left_turning,19585,19574,19585,11
sniffing,19611,19585,19611,26
climbing,19637,19611,19637,26
rearing,19638,19637,19638,1
running,19659,19638,19659,21
walking,19660,19659,19660,1
left_turning,19726,19660,19726,66
running,19749,19726,19749,23
sniffing,19782,19749,19782,33
rising,19785,19782,19785,3
climbing,19862,19785,19862,77
sniffing,19873,19862,19873,11
trotting,19874,19873,19874,1
walking,19888,19874,19888,14
sniffing,20038,19888,20038,150
left_turning,20116,20038,20116,78
walking,20118,20116,20118,2
climbing,20137,20118,20137,19
left_turning,20157,20137,20157,20
sniffing,20183,20157,20183,26
left_turning,20238,20183,20238,55
walking,20278,20238,20278,40
left_turning,20284,20278,20284,6
walking,20285,20284,20285,1
rising,20300,20285,20300,15
climbing,20354,20300,20354,54
sniffing,20375,20354,20375,21
walking,20407,20375,20407,32
climbing,20477,20407,20477,70
rising,20478,20477,20478,1
sniffing,20556,20478,20556,78
rising,20589,20556,20589,33
climbing,20614,20589,20614,25
rising,20755,20614,20755,141
climbing,20785,20755,20785,30
sniffing,20829,20785,20829,44
rising,20887,20829,20887,58
left_turning,20899,20887,20899,12
sniffing,20951,20899,20951,52
climbing,21012,20951,21012,61
sniffing,21064,21012,21064,52
rising,21066,21064,21066,2
climbing,21091,21066,21091,25
sniffing,21148,21091,21148,57
right_turning,21175,21148,21175,27
sniffing,21265,21175,21265,90
rising,21266,21265,21266,1
climbing,21368,21266,21368,102
trotting,21369,21368,21369,1
sniffing,21476,21369,21476,107
grooming,21761,21476,21761,285
sniffing,21808,21761,21808,47
climbing,21835,21808,21835,27
sniffing,21884,21835,21884,49
right_turning,21885,21884,21885,1
trotting,21954,21885,21954,69
sniffing,22051,21954,22051,97
climbing,22054,22051,22054,3
sniffing,22085,22054,22085,31
right_turning,22093,22085,22093,8
running,22109,22093,22109,16
rising,22160,22109,22160,51
rearing,22261,22160,22261,101
grooming,22394,22261,22394,133
pausing,22395,22394,22395,1
sniffing,22396,22395,22396,1
stepping,22427,22396,22427,31
sniffing,22544,22427,22544,117
grooming,22798,22544,22798,254
sniffing,22839,22798,22839,41
climbing,22877,22839,22877,38
sniffing,22961,22877,22961,84
rising,22962,22961,22962,1
right_turning,22978,22962,22978,16
sniffing,23201,22978,23201,223
climbing,23249,23201,23249,48
right_turning,23260,23249,23260,11
walking,23264,23260,23264,4
climbing,23266,23264,23266,2
trotting,23289,23266,23289,23
left_turning,23296,23289,23296,7
sniffing,23326,23296,23326,30
trotting,23375,23326,23375,49
sniffing,23420,23375,23420,45
walking,23446,23420,23446,26
sniffing,23459,23446,23459,13
left_turning,23504,23459,23504,45
sniffing,23512,23504,23512,8
walking,23548,23512,23548,36
sniffing,23566,23548,23566,18
rising,23584,23566,23584,18
grooming,23585,23584,23585,1
rising,23631,23585,23631,46
sniffing,23639,23631,23639,8
hunching,23733,23639,23733,94
walking,23748,23733,23748,15
sniffing,23749,23748,23749,1
left_turning,23815,23749,23815,66
sniffing,23895,23815,23895,80
rising,23896,23895,23896,1
sniffing,23940,23896,23940,44
walking,23970,23940,23970,30
sniffing,23996,23970,23996,26
left_turning,24033,23996,24033,37
rising,24056,24033,24056,23
left_turning,24070,24056,24070,14
walking,24099,24070,24099,29
sniffing,24182,24099,24182,83
stepping,24200,24182,24200,18
sniffing,24201,24200,24201,1
stepping,24206,24201,24206,5
climbing,24251,24206,24251,45
sniffing,24317,24251,24317,66
walking,24324,24317,24324,7
sniffing,24357,24324,24357,33
rising,24435,24357,24435,78
sniffing,24558,24435,24558,123
right_turning,24591,24558,24591,33
trotting,24609,24591,24609,18
rising,24624,24609,24624,15
sniffing,24730,24624,24730,106
walking,24766,24730,24766,36
sniffing,24807,24766,24807,41
running,24821,24807,24821,14
rising,24835,24821,24835,14
sniffing,24872,24835,24872,37
stepping,24952,24872,24952,80
sniffing,24999,24952,24999,47
climbing,25000,24999,25000,1
rearing,25036,25000,25036,36
walking,25066,25036,25066,30
left_turning,25095,25066,25095,29
sniffing,25119,25095,25119,24
rearing,25120,25119,25120,1
sniffing,25172,25120,25172,52
left_turning,25204,25172,25204,32
walking,25205,25204,25205,1
sniffing,25230,25205,25230,25
hunching,25343,25230,25343,113
sniffing,25382,25343,25382,39
rising,25447,25382,25447,65
climbing,25477,25447,25477,30
right_turning,25506,25477,25506,29
climbing,25544,25506,25544,38
hunching,25570,25544,25570,26
right_turning,25620,25570,25620,50
running,25635,25620,25635,15
sniffing,25753,25635,25753,118
rising,25788,25753,25788,35
left_turning,25805,25788,25805,17
walking,25843,25805,25843,38
climbing,25853,25843,25853,10
sniffing,25913,25853,25913,60
left_turning,25914,25913,25914,1
sniffing,25939,25914,25939,25
walking,25940,25939,25940,1
climbing,25983,25940,25983,43
sniffing,26038,25983,26038,55
stepping,26068,26038,26068,30
trotting,26145,26068,26145,77
walking,26181,26145,26181,36
sniffing,26309,26181,26309,128
left_turning,26352,26309,26352,43
sniffing,26449,26352,26449,97
left_turning,26462,26449,26462,13
rising,26499,26462,26499,37
right_turning,26508,26499,26508,9
sniffing,26560,26508,26560,52
left_turning,26611,26560,26611,51
sniffing,26627,26611,26627,16
rising,26634,26627,26634,7
walking,26652,26634,26652,18
sniffing,26743,26652,26743,91
climbing,26777,26743,26777,34
sniffing,26794,26777,26794,17
climbing,26858,26794,26858,64
grooming,26993,26858,26993,135
rearing,26994,26993,26994,1
climbing,27030,26994,27030,36
walking,27085,27030,27085,55
left_turning,27128,27085,27128,43
trotting,27157,27128,27157,29
sniffing,27199,27157,27199,42
left_turning,27200,27199,27200,1
running,27242,27200,27242,42
rising,27251,27242,27251,9
climbing,27275,27251,27275,24
walking,27300,27275,27300,25
left_turning,27356,27300,27356,56
sniffing,27429,27356,27429,73
climbing,27460,27429,27460,31
left_turning,27477,27460,27477,17
