revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
trotting,8,0,8,8
climbing,70,8,70,62
trotting,71,70,71,1
walking,112,71,112,41
sniffing,113,112,113,1
rising,114,113,114,1
climbing,164,114,164,50
rising,219,164,219,55
walking,254,219,254,35
sniffing,255,254,255,1
hunching,295,255,295,40
climbing,320,295,320,25
rising,354,320,354,34
left_turning,360,354,360,6
sniffing,417,360,417,57
grooming,418,417,418,1
climbing,482,418,482,64
rising,497,482,497,15
sniffing,550,497,550,53
climbing,576,550,576,26
rearing,609,576,609,33
climbing,656,609,656,47
sniffing,737,656,737,81
stepping,783,737,783,46
trotting,797,783,797,14
walking,798,797,798,1
sniffing,802,798,802,4
left_turning,834,802,834,32
climbing,861,834,861,27
right_turning,915,861,915,54
left_turning,916,915,916,1
trotting,923,916,923,7
walking,933,923,933,10
sniffing,984,933,984,51
trotting,1009,984,1009,25
stepping,1053,1009,1053,44
walking,1067,1053,1067,14
climbing,1112,1067,1112,45
sniffing,1113,1112,1113,1
trotting,1138,1113,1138,25
walking,1143,1138,1143,5
left_turning,1211,1143,1211,68
walking,1228,1211,1228,17
rising,1300,1228,1300,72
right_turning,1303,1300,1303,3
trotting,1343,1303,1343,40
sniffing,1364,1343,1364,21
walking,1365,1364,1365,1
trotting,1385,1365,1385,20
climbing,1413,1385,1413,28
sniffing,1477,1413,1477,64
rising,1555,1477,1555,78
right_turning,1556,1555,1556,1
trotting,1572,1556,1572,16
walking,1583,1572,1583,11
left_turning,1599,1583,1599,16
walking,1608,1599,1608,9
sniffing,1609,1608,1609,1
rising,1631,1609,1631,22
sniffing,1650,1631,1650,19
walking,1665,1650,1665,15
sniffing,1699,1665,1699,34
climbing,1744,1699,1744,45
sniffing,1760,1744,1760,16
right_turning,1773,1760,1773,13
walking,1775,1773,1775,2
stepping,1776,1775,1776,1
climbing,1842,1776,1842,66
trotting,1883,1842,1883,41
walking,1901,1883,1901,18
sniffing,1902,1901,1902,1
left_turning,1957,1902,1957,55
walking,2038,1957,2038,81
sniffing,2104,2038,2104,66
stepping,2112,2104,2112,8
climbing,2160,2112,2160,48
rising,2169,2160,2169,9
sniffing,2193,2169,2193,24
rising,2221,2193,2221,28
climbing,2252,2221,2252,31
sniffing,2327,2252,2327,75
left_turning,2401,2327,2401,74
running,2432,2401,2432,31
rising,2433,2432,2433,1
hunching,2437,2433,2437,4
sniffing,2484,2437,2484,47
walking,2512,2484,2512,28
sniffing,2513,2512,2513,1
climbing,2559,2513,2559,46
sniffing,2612,2559,2612,53
left_turning,2673,2612,2673,61
rising,2819,2673,2819,146
climbing,2852,2819,2852,33
left_turning,2885,2852,2885,33
sniffing,2930,2885,2930,45
trotting,2963,2930,2963,33
sniffing,2995,2963,2995,32
walking,3067,2995,3067,72
sniffing,3108,3067,3108,41
climbing,3144,3108,3144,36
walking,3228,3144,3228,84
left_turning,3320,3228,3320,92
sniffing,3326,3320,3326,6
climbing,3354,3326,3354,28
right_turning,3390,3354,3390,36
trotting,3444,3390,3444,54
walking,3524,3444,3524,80
rising,3534,3524,3534,10
sniffing,3642,3534,3642,108
