revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,7,0,7,7
left_turning,34,7,34,27
sniffing,79,34,79,45
walking,112,79,112,33
climbing,171,112,171,59
rearing,172,171,172,1
rising,391,172,391,219
climbing,416,391,416,25
rising,459,416,459,43
walking,460,459,460,1
sniffing,504,460,504,44
trotting,539,504,539,35
walking,574,539,574,35
left_turning,607,574,607,33
sniffing,608,607,608,1
climbing,638,608,638,30
rising,709,638,709,71
sniffing,773,709,773,64
left_turning,815,773,815,42
running,817,815,817,2
sniffing,821,817,821,4
walking,837,821,837,16
left_turning,842,837,842,5
trotting,867,842,867,25
sniffing,932,867,932,65
rising,956,932,956,24
walking,1003,956,1003,47
sniffing,1024,1003,1024,21
climbing,1073,1024,1073,49
hunching,1345,1073,1345,272
rising,1346,1345,1346,1
left_turning,1347,1346,1347,1
running,1379,1347,1379,32
left_turning,1389,1379,1389,10
rising,1402,1389,1402,13
climbing,1435,1402,1435,33
stepping,1457,1435,1457,22
walking,1458,1457,1458,1
climbing,1512,1458,1512,54
walking,1520,1512,1520,8
rising,1571,1520,1571,51
grooming,1572,1571,1572,1
climbing,1637,1572,1637,65
sniffing,1638,1637,1638,1
rising,1680,1638,1680,42
pausing,1681,1680,1681,1
sniffing,1692,1681,1692,11
grooming,1874,1692,1874,182
sniffing,1881,1874,1881,7
stepping,1882,1881,1882,1
walking,1886,1882,1886,4
rising,2004,1886,2004,118
climbing,2046,2004,2046,42
sniffing,2047,2046,2047,1
climbing,2087,2047,2087,40
sniffing,2129,2087,2129,42
climbing,2184,2129,2184,55
rising,2262,2184,2262,78
climbing,2300,2262,2300,38
sniffing,2301,2300,2301,1
rising,2436,2301,2436,135
right_turning,2447,2436,2447,11
walking,2497,2447,2497,50
sniffing,2548,2497,2548,51
trotting,2552,2548,2552,4
sniffing,2613,2552,2613,61
pausing,2614,2613,2614,1
sniffing,2629,2614,2629,15
walking,2647,2629,2647,18
sniffing,2700,2647,2700,53
rearing,2729,2700,2729,29
sniffing,2815,2729,2815,86
pausing,2816,2815,2816,1
sniffing,2867,2816,2867,51
trotting,2907,2867,2907,40
rising,2923,2907,2923,16
sniffing,2949,2923,2949,26
left_turning,3007,2949,3007,58
sniffing,3024,3007,3024,17
left_turning,3032,3024,3032,8
rearing,3078,3032,3078,46
hunching,3121,3078,3121,43
rising,3215,3121,3215,94
climbing,3263,3215,3263,48
sniffing,3270,3263,3270,7
right_turning,3295,3270,3295,25
stepping,3330,3295,3330,35
rising,3475,3330,3475,145
running,3502,3475,3502,27
sniffing,3503,3502,3503,1
hunching,3592,3503,3592,89
walking,3644,3592,3644,52
sniffing,3727,3644,3727,83
left_turning,3730,3727,3730,3
trotting,3746,3730,3746,16
sniffing,3907,3746,3907,161
left_turning,3952,3907,3952,45
sniffing,3953,3952,3953,1
running,3962,3953,3962,9
walking,4022,3962,4022,60
left_turning,4041,4022,4041,19
walking,4109,4041,4109,68
sniffing,4142,4109,4142,33
walking,4202,4142,4202,60
sniffing,4304,4202,4304,102
grooming,4326,4304,4326,22
hunching,4501,4326,4501,175
right_turning,4540,4501,4540,39
sniffing,4546,4540,4546,6
walking,4547,4546,4547,1
sniffing,4548,4547,4548,1
rearing,4758,4548,4758,210
grooming,5125,4758,5125,367
climbing,5193,5125,5193,68
right_turning,5214,5193,5214,21
stepping,5233,5214,5233,19
climbing,5284,5233,5284,51
rising,5285,5284,5285,1
grooming,5470,5285,5470,185
sniffing,5481,5470,5481,11
rising,5492,5481,5492,11
walking,5516,5492,5516,24
sniffing,5570,5516,5570,54
rising,5616,5570,5616,46
sniffing,5705,5616,5705,89
left_turning,5754,5705,5754,49
walking,5771,5754,5771,17
sniffing,5772,5771,5772,1
walking,5773,5772,5773,1
sniffing,5800,5773,5800,27
walking,5833,5800,5833,33
climbing,5879,5833,5879,46
trotting,5882,5879,5882,3
climbing,5927,5882,5927,45
sniffing,5998,5927,5998,71
left_turning,6018,5998,6018,20
walking,6039,6018,6039,21
left_turning,6062,6039,6062,23
walking,6072,6062,6072,10
rising,6088,6072,6088,16
climbing,6111,6088,6111,23
right_turning,6136,6111,6136,25
trotting,6143,6136,6143,7
sniffing,6184,6143,6184,41
left_turning,6210,6184,6210,26
running,6220,6210,6220,10
right_turning,6221,6220,6221,1
sniffing,6286,6221,6286,65
rising,6287,6286,6287,1
grooming,6529,6287,6529,242
sniffing,6530,6529,6530,1
left_turning,6531,6530,6531,1
trotting,6586,6531,6586,55
walking,6602,6586,6602,16
stepping,6619,6602,6619,17
left_turning,6632,6619,6632,13
sniffing,6687,6632,6687,55
trotting,6688,6687,6688,1
walking,6707,6688,6707,19
climbing,6731,6707,6731,24
rising,6732,6731,6732,1
