revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
trotting,5,0,5,5
left_turning,40,5,40,35
walking,62,40,62,22
sniffing,107,62,107,45
climbing,134,107,134,27
walking,173,134,173,39
rising,208,173,208,35
sniffing,210,208,210,2
rearing,211,210,211,1
trotting,237,211,237,26
sniffing,262,237,262,25
left_turning,309,262,309,47
sniffing,376,309,376,67
rearing,455,376,455,79
climbing,457,455,457,2
rising,477,457,477,20
sniffing,478,477,478,1
hunching,485,478,485,7
climbing,502,485,502,17
left_turning,547,502,547,45
climbing,628,547,628,81
rearing,629,628,629,1
hunching,630,629,630,1
stepping,656,630,656,26
left_turning,657,656,657,1
climbing,695,657,695,38
sniffing,696,695,696,1
rising,717,696,717,21
climbing,758,717,758,41
trotting,759,758,759,1
walking,800,759,800,41
rising,1069,800,1069,269
sniffing,1188,1069,1188,119
walking,1223,1188,1223,35
climbing,1263,1223,1263,40
sniffing,1294,1263,1294,31
left_turning,1313,1294,1313,19
walking,1314,1313,1314,1
sniffing,1371,1314,1371,57
walking,1417,1371,1417,46
right_turning,1418,1417,1418,1
walking,1419,1418,1419,1
trotting,1434,1419,1434,15
rising,1453,1434,1453,19
sniffing,1528,1453,1528,75
climbing,1576,1528,1576,48
rearing,1593,1576,1593,17
rising,1645,1593,1645,52
climbing,1650,1645,1650,5
sniffing,1728,1650,1728,78
running,1739,1728,1739,11
walking,1771,1739,1771,32
sniffing,1776,1771,1776,5
grooming,1898,1776,1898,122
walking,1899,1898,1899,1
trotting,1935,1899,1935,36
left_turning,1953,1935,1953,18
rising,1973,1953,1973,20
trotting,1995,1973,1995,22
left_turning,2030,1995,2030,35
sniffing,2031,2030,2031,1
climbing,2082,2031,2082,51
walking,2083,2082,2083,1
rising,2167,2083,2167,84
sniffing,2214,2167,2214,47
hunching,2275,2214,2275,61
climbing,2292,2275,2292,17
trotting,2323,2292,2323,31
left_turning,2326,2323,2326,3
sniffing,2328,2326,2328,2
rising,2403,2328,2403,75
walking,2439,2403,2439,36
sniffing,2492,2439,2492,53
climbing,2498,2492,2498,6
sniffing,2507,2498,2507,9
walking,2523,2507,2523,16
climbing,2565,2523,2565,42
walking,2678,2565,2678,113
trotting,2719,2678,2719,41
walking,2737,2719,2737,18
left_turning,2768,2737,2768,31
running,2797,2768,2797,29
walking,2798,2797,2798,1
trotting,2838,2798,2838,40
walking,2839,2838,2839,1
rising,2924,2839,2924,85
walking,2964,2924,2964,40
sniffing,3036,2964,3036,72
climbing,3093,3036,3093,57
stepping,3130,3093,3130,37
walking,3170,3130,3170,40
sniffing,3171,3170,3171,1
walking,3183,3171,3183,12
sniffing,3271,3183,3271,88
walking,3272,3271,3272,1
climbing,3317,3272,3317,45
right_turning,3343,3317,3343,26
stepping,3378,3343,3378,35
walking,3393,3378,3393,15
climbing,3433,3393,3433,40
running,3445,3433,3445,12
left_turning,3504,3445,3504,59
sniffing,3543,3504,3543,39
trotting,3544,3543,3544,1
sniffing,3545,3544,3545,1
hunching,3607,3545,3607,62
right_turning,3622,3607,3622,15
sniffing,3623,3622,3623,1
climbing,3639,3623,3639,16
walking,3656,3639,3656,17
rearing,3724,3656,3724,68
left_turning,3767,3724,3767,43
climbing,3805,3767,3805,38
rising,3813,3805,3813,8
climbing,3857,3813,3857,44
right_turning,3885,3857,3885,28
walking,3932,3885,3932,47
sniffing,3933,3932,3933,1
trotting,3938,3933,3938,5
walking,3987,3938,3987,49
climbing,4007,3987,4007,20
sniffing,4067,4007,4067,60
grooming,4369,4067,4369,302
walking,4427,4369,4427,58
sniffing,4440,4427,4440,13
walking,4485,4440,4485,45
sniffing,4505,4485,4505,20
climbing,4595,4505,4595,90
hunching,4749,4595,4749,154
rearing,4750,4749,4750,1
climbing,4785,4750,4785,35
walking,4819,4785,4819,34
climbing,4880,4819,4880,61
walking,4945,4880,4945,65
stepping,4946,4945,4946,1
rising,5021,4946,5021,75
right_turning,5027,5021,5027,6
walking,5086,5027,5086,59
sniffing,5150,5086,5150,64
climbing,5182,5150,5182,32
left_turning,5281,5182,5281,99
rising,5293,5281,5293,12
climbing,5306,5293,5306,13
sniffing,5324,5306,5324,18
right_turning,5326,5324,5326,2
rising,5391,5326,5391,65
climbing,5433,5391,5433,42
walking,5455,5433,5455,22
sniffing,5506,5455,5506,51
stepping,5509,5506,5509,3
walking,5572,5509,5572,63
sniffing,5573,5572,5573,1
rising,5574,5573,5574,1
trotting,5584,5574,5584,10
walking,5613,5584,5613,29
sniffing,5631,5613,5631,18
climbing,5687,5631,5687,56
walking,5709,5687,5709,22
rising,5732,5709,5732,23
left_turning,5738,5732,5738,6
walking,5781,5738,5781,43
sniffing,5804,5781,5804,23
running,5818,5804,5818,14
climbing,5881,5818,5881,63
sniffing,5882,5881,5882,1
climbing,5922,5882,5922,40
trotting,5945,5922,5945,23
sniffing,5947,5945,5947,2
walking,5980,5947,5980,33
left_turning,5981,5980,5981,1
walking,5982,5981,5982,1
trotting,6025,5982,6025,43
rising,6026,6025,6026,1
sniffing,6055,6026,6055,29
walking,6080,6055,6080,25
climbing,6125,6080,6125,45
walking,6184,6125,6184,59
sniffing,6237,6184,6237,53
right_turning,6245,6237,6245,8
sniffing,6303,6245,6303,58
left_turning,6304,6303,6304,1
sniffing,6344,6304,6344,40
rising,6400,6344,6400,56
walking,6401,6400,6401,1
left_turning,6405,6401,6405,4
walking,6428,6405,6428,23
sniffing,6466,6428,6466,38
trotting,6475,6466,6475,9
walking,6483,6475,6483,8
sniffing,6484,6483,6484,1
left_turning,6485,6484,6485,1
sniffing,6514,6485,6514,29
walking,6521,6514,6521,7
sniffing,6666,6521,6666,145
rearing,6684,6666,6684,18
