revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
walking,1,0,1,1
trotting,36,1,36,35
walking,40,36,40,4
rising,42,40,42,2
right_turning,64,42,64,22
walking,124,64,124,60
left_turning,132,124,132,8
walking,182,132,182,50
sniffing,237,182,237,55
grooming,681,237,681,444
walking,748,681,748,67
left_turning,781,748,781,33
sniffing,782,781,782,1
walking,841,782,841,59
sniffing,842,841,842,1
climbing,880,842,880,38
walking,914,880,914,34
sniffing,915,914,915,1
stepping,963,915,963,48
sniffing,1006,963,1006,43
rising,1025,1006,1025,19
climbing,1054,1025,1054,29
stepping,1073,1054,1073,19
walking,1132,1073,1132,59
rising,1133,1132,1133,1
right_turning,1145,1133,1145,12
walking,1180,1145,1180,35
sniffing,1255,1180,1255,75
climbing,1284,1255,1284,29
sniffing,1324,1284,1324,40
trotting,1335,1324,1335,11
left_turning,1336,1335,1336,1
trotting,1354,1336,1354,18
left_turning,1358,1354,1358,4
sniffing,1363,1358,1363,5
left_turning,1426,1363,1426,63
walking,1447,1426,1447,21
left_turning,1498,1447,1498,51
rising,1529,1498,1529,31
climbing,1639,1529,1639,110
sniffing,1660,1639,1660,21
rising,1661,1660,1661,1
trotting,1674,1661,1674,13
walking,1683,1674,1683,9
rising,1684,1683,1684,1
walking,1772,1684,1772,88
running,1827,1772,1827,55
stepping,1868,1827,1868,41
rising,1915,1868,1915,47
climbing,1947,1915,1947,32
sniffing,1981,1947,1981,34
walking,1982,1981,1982,1
sniffing,1990,1982,1990,8
left_turning,2018,1990,2018,28
climbing,2056,2018,2056,38
sniffing,2123,2056,2123,67
climbing,2138,2123,2138,15
grooming,2139,2138,2139,1
climbing,2198,2139,2198,59
right_turning,2200,2198,2200,2
stepping,2201,2200,2201,1
climbing,2241,2201,2241,40
sniffing,2312,2241,2312,71
walking,2377,2312,2377,65
sniffing,2441,2377,2441,64
hunching,2469,2441,2469,28
rearing,2576,2469,2576,107
rising,2577,2576,2577,1
climbing,2609,2577,2609,32
rearing,2677,2609,2677,68
