,location,points,density,statistic_type,video_index,ExperimentCondition,gender
72,center,1.8722638280850685,0.299562212493611,traditional_location,53,Morning_Light-on,male
73,perimeter,98.12773617191493,7.850218893753195,traditional_location,53,Morning_Light-on,male
74,corner,0.0,0.0,traditional_location,53,Morning_Light-on,male
75,center,2.0011555812351385,0.32018489299762215,traditional_location,62,Morning_Light-on,female
76,perimeter,97.99884441876486,7.839907553501188,traditional_location,62,Morning_Light-on,female
77,corner,0.0,0.0,traditional_location,62,Morning_Light-on,female
78,center,5.3612302495611015,0.8577968399297762,traditional_location,57,Morning_Light-on,female
79,perimeter,94.6387697504389,7.571101580035112,traditional_location,57,Morning_Light-on,female
80,corner,0.0,0.0,traditional_location,57,Morning_Light-on,female
81,center,11.138025289450876,1.7820840463121401,traditional_location,58,Morning_Light-on,male
82,perimeter,88.86197471054912,7.1089579768439295,traditional_location,58,Morning_Light-on,male
83,corner,0.0,0.0,traditional_location,58,Morning_Light-on,male
84,center,2.332274050534456,0.37316384808551295,traditional_location,61,Morning_Light-on,female
85,perimeter,97.66772594946555,7.8134180759572445,traditional_location,61,Morning_Light-on,female
86,corner,0.0,0.0,traditional_location,61,Morning_Light-on,female
87,center,3.1945154336763038,0.5111224693882086,traditional_location,54,Morning_Light-on,male
88,perimeter,96.8054845663237,7.744438765305897,traditional_location,54,Morning_Light-on,male
89,corner,0.0,0.0,traditional_location,54,Morning_Light-on,male
90,center,2.7622222222222224,0.4419555555555556,traditional_location,127,Stress_Light-on,female
91,perimeter,97.23777777777778,7.779022222222222,traditional_location,127,Stress_Light-on,female
92,corner,0.0,0.0,traditional_location,127,Stress_Light-on,female
93,center,4.572222222222222,0.7315555555555555,traditional_location,128,Stress_Light-on,female
94,perimeter,95.42777777777778,7.634222222222222,traditional_location,128,Stress_Light-on,female
95,corner,0.0,0.0,traditional_location,128,Stress_Light-on,female
96,center,10.934444444444443,1.749511111111111,traditional_location,129,Stress_Light-on,female
97,perimeter,89.06555555555555,7.125244444444444,traditional_location,129,Stress_Light-on,female
98,corner,0.0,0.0,traditional_location,129,Stress_Light-on,female
99,center,5.893333333333333,0.9429333333333332,traditional_location,130,Stress_Light-on,female
100,perimeter,94.10666666666667,7.528533333333333,traditional_location,130,Stress_Light-on,female
101,corner,0.0,0.0,traditional_location,130,Stress_Light-on,female
