,revised_movement_label,count,percentage,loc_type,location,statistic_type,video_index,ExperimentCondition,gender
61,trotting,934.0,0.0284080540178843,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
62,left_turning,6105.0,0.18568647727963988,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
63,right_turning,1997.0,0.060739704361579175,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
64,walking,9590.0,0.2916844090273131,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
65,stepping,2302.0,0.0700164243567127,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
66,sniffing,32878.0,1.0,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
67,rising,8024.0,0.24405377456049637,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
68,hunching,1415.0,0.04303789768234077,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
69,rearing,5051.0,0.15362856621448992,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
70,climbing,9461.0,0.2877608127015025,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
71,jumping,0.0,0.0,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
72,grooming,5202.0,0.15822130299896586,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
73,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
74,pausing,453.0,0.013778210353427824,traditional_location,perimeter,traditional_location,7,Morning_Light-on,male
75,running,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
76,trotting,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
77,left_turning,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
78,right_turning,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
79,walking,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
80,stepping,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
81,sniffing,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
82,rising,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
83,hunching,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
84,rearing,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
85,climbing,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
86,jumping,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
87,grooming,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
88,scratching,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
89,pausing,0.0,0.0,traditional_location,corner,traditional_location,7,Morning_Light-on,male
90,running,26.0,0.009451108687749909,traditional_location,center,traditional_location,8,Morning_Light-on,male
91,trotting,453.0,0.16466739367502725,traditional_location,center,traditional_location,8,Morning_Light-on,male
92,left_turning,1350.0,0.49073064340239914,traditional_location,center,traditional_location,8,Morning_Light-on,male
93,right_turning,176.0,0.06397673573246092,traditional_location,center,traditional_location,8,Morning_Light-on,male
94,walking,2694.0,0.9792802617230099,traditional_location,center,traditional_location,8,Morning_Light-on,male
95,stepping,690.0,0.25081788440567065,traditional_location,center,traditional_location,8,Morning_Light-on,male
96,sniffing,2751.0,1.0,traditional_location,center,traditional_location,8,Morning_Light-on,male
97,rising,175.0,0.06361323155216285,traditional_location,center,traditional_location,8,Morning_Light-on,male
98,hunching,45.0,0.016357688113413305,traditional_location,center,traditional_location,8,Morning_Light-on,male
99,rearing,27.0,0.009814612868047983,traditional_location,center,traditional_location,8,Morning_Light-on,male
100,climbing,0.0,0.0,traditional_location,center,traditional_location,8,Morning_Light-on,male
101,jumping,0.0,0.0,traditional_location,center,traditional_location,8,Morning_Light-on,male
102,grooming,175.0,0.06361323155216285,traditional_location,center,traditional_location,8,Morning_Light-on,male
103,scratching,0.0,0.0,traditional_location,center,traditional_location,8,Morning_Light-on,male
104,pausing,0.0,0.0,traditional_location,center,traditional_location,8,Morning_Light-on,male
105,running,72.0,0.002480449236917353,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
106,trotting,998.0,0.034381782478382195,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
107,left_turning,5384.0,0.18548248182726426,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
108,right_turning,1191.0,0.041030764460674544,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
109,walking,8037.0,0.2768801460708995,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
110,stepping,2073.0,0.07141626761291212,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
111,sniffing,29027.0,1.0,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
112,rising,6878.0,0.23695180349329933,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
113,hunching,2367.0,0.08154476866365798,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
114,rearing,3799.0,0.13087814793123642,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
115,climbing,7981.0,0.27495090777551934,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
116,jumping,120.0,0.004134082061528922,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
117,grooming,10738.0,0.36993144313914633,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
118,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
119,pausing,2771.0,0.09546284493747201,traditional_location,perimeter,traditional_location,8,Morning_Light-on,male
120,running,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
121,trotting,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
122,left_turning,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
123,right_turning,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
124,walking,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
125,stepping,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
126,sniffing,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
127,rising,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
128,hunching,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
129,rearing,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
130,climbing,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
131,jumping,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
132,grooming,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
133,scratching,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
134,pausing,0.0,0.0,traditional_location,corner,traditional_location,8,Morning_Light-on,male
135,running,40.0,0.023515579071134628,traditional_location,center,traditional_location,9,Morning_Light-on,male
136,trotting,346.0,0.20340975896531452,traditional_location,center,traditional_location,9,Morning_Light-on,male
137,left_turning,472.0,0.2774838330393886,traditional_location,center,traditional_location,9,Morning_Light-on,male
138,right_turning,143.0,0.08406819517930629,traditional_location,center,traditional_location,9,Morning_Light-on,male
139,walking,1420.0,0.8348030570252792,traditional_location,center,traditional_location,9,Morning_Light-on,male
140,stepping,362.0,0.21281599059376838,traditional_location,center,traditional_location,9,Morning_Light-on,male
141,sniffing,1701.0,1.0,traditional_location,center,traditional_location,9,Morning_Light-on,male
142,rising,267.0,0.15696649029982362,traditional_location,center,traditional_location,9,Morning_Light-on,male
143,hunching,25.0,0.014697236919459141,traditional_location,center,traditional_location,9,Morning_Light-on,male
144,rearing,215.0,0.12639623750734863,traditional_location,center,traditional_location,9,Morning_Light-on,male
145,climbing,0.0,0.0,traditional_location,center,traditional_location,9,Morning_Light-on,male
146,jumping,0.0,0.0,traditional_location,center,traditional_location,9,Morning_Light-on,male
147,grooming,89.0,0.052322163433274546,traditional_location,center,traditional_location,9,Morning_Light-on,male
148,scratching,0.0,0.0,traditional_location,center,traditional_location,9,Morning_Light-on,male
149,pausing,0.0,0.0,traditional_location,center,traditional_location,9,Morning_Light-on,male
