,location,points,density,statistic_type,video_index,ExperimentCondition,gender
75,center,3.761111111111111,0.6017777777777777,traditional_location,62,Morning_Light-on,female
76,perimeter,96.23888888888888,7.699111111111111,traditional_location,62,Morning_Light-on,female
77,corner,0.0,0.0,traditional_location,62,Morning_Light-on,female
78,center,8.75,1.4,traditional_location,57,Morning_Light-on,female
79,perimeter,91.25,7.3,traditional_location,57,Morning_Light-on,female
80,corner,0.0,0.0,traditional_location,57,Morning_Light-on,female
81,center,17.072222222222223,2.731555555555556,traditional_location,58,Morning_Light-on,male
82,perimeter,82.92777777777778,6.634222222222221,traditional_location,58,Morning_Light-on,male
83,corner,0.0,0.0,traditional_location,58,Morning_Light-on,male
84,center,3.4333333333333336,0.5493333333333333,traditional_location,61,Morning_Light-on,female
85,perimeter,96.56666666666666,7.725333333333333,traditional_location,61,Morning_Light-on,female
86,corner,0.0,0.0,traditional_location,61,Morning_Light-on,female
87,center,5.055555555555555,0.8088888888888889,traditional_location,54,Morning_Light-on,male
88,perimeter,94.94444444444444,7.595555555555555,traditional_location,54,Morning_Light-on,male
89,corner,0.0,0.0,traditional_location,54,Morning_Light-on,male
90,center,1.4166666666666665,0.22666666666666666,traditional_location,127,Stress_Light-on,female
91,perimeter,98.58333333333333,7.886666666666667,traditional_location,127,Stress_Light-on,female
92,corner,0.0,0.0,traditional_location,127,Stress_Light-on,female
93,center,0.7555555555555555,0.12088888888888888,traditional_location,128,Stress_Light-on,female
94,perimeter,99.24444444444444,7.939555555555555,traditional_location,128,Stress_Light-on,female
95,corner,0.0,0.0,traditional_location,128,Stress_Light-on,female
96,center,10.316666666666666,1.6506666666666667,traditional_location,129,Stress_Light-on,female
97,perimeter,89.68333333333334,7.174666666666667,traditional_location,129,Stress_Light-on,female
98,corner,0.0,0.0,traditional_location,129,Stress_Light-on,female
99,center,11.055555555555555,1.768888888888889,traditional_location,130,Stress_Light-on,female
100,perimeter,88.94444444444444,7.115555555555556,traditional_location,130,Stress_Light-on,female
101,corner,0.0,0.0,traditional_location,130,Stress_Light-on,female
102,center,1.277777777777778,0.20444444444444446,traditional_location,131,Stress_Light-on,male
103,perimeter,98.72222222222223,7.897777777777778,traditional_location,131,Stress_Light-on,male
104,corner,0.0,0.0,traditional_location,131,Stress_Light-on,male
105,center,2.4,0.384,traditional_location,132,Stress_Light-on,male
106,perimeter,97.6,7.808,traditional_location,132,Stress_Light-on,male
107,corner,0.0,0.0,traditional_location,132,Stress_Light-on,male
108,center,2.9722222222222223,0.4755555555555556,traditional_location,133,Stress_Light-on,male
109,perimeter,97.02777777777779,7.762222222222223,traditional_location,133,Stress_Light-on,male
110,corner,0.0,0.0,traditional_location,133,Stress_Light-on,male
111,center,3.3777777777777773,0.5404444444444444,traditional_location,134,Stress_Light-on,male
112,perimeter,96.62222222222222,7.729777777777778,traditional_location,134,Stress_Light-on,male
113,corner,0.0,0.0,traditional_location,134,Stress_Light-on,male
114,center,5.472222222222222,0.8755555555555556,traditional_location,135,Stress_Light-on,female
115,perimeter,94.52777777777777,7.562222222222221,traditional_location,135,Stress_Light-on,female
116,corner,0.0,0.0,traditional_location,135,Stress_Light-on,female
117,center,3.161111111111111,0.5057777777777778,traditional_location,136,Stress_Light-on,female
118,perimeter,96.83888888888889,7.747111111111111,traditional_location,136,Stress_Light-on,female
119,corner,0.0,0.0,traditional_location,136,Stress_Light-on,female
120,center,3.077777777777778,0.49244444444444446,traditional_location,137,Stress_Light-on,female
121,perimeter,96.92222222222222,7.753777777777778,traditional_location,137,Stress_Light-on,female
122,corner,0.0,0.0,traditional_location,137,Stress_Light-on,female
123,center,2.4611111111111112,0.39377777777777784,traditional_location,138,Stress_Light-on,female
124,perimeter,97.53888888888889,7.803111111111111,traditional_location,138,Stress_Light-on,female
125,corner,0.0,0.0,traditional_location,138,Stress_Light-on,female
126,center,0.0,0.0,traditional_location,139,Stress_Light-on,male
127,perimeter,100.0,8.0,traditional_location,139,Stress_Light-on,male
128,corner,0.0,0.0,traditional_location,139,Stress_Light-on,male
