OriginalDigital_label,segBoundary,umap1,umap2,zs_velocity
38,35,-0.6929396498138709,1.2570925949005978,-0.4183257170322204
35,65,-0.8271097849868545,0.8241550289175327,-0.7111501291449606
4,100,-0.6827779578110327,-0.3836273076365139,-0.7905819201566713
27,110,-0.5176501168054786,-1.6452423200986654,1.0010779813913784
23,145,-1.0400603518412126,-1.124657091511655,1.8081064631163708
9,205,-0.8394117331972467,-0.3972045034061361,0.3902538258972759
6,265,-0.7847803432722498,0.2210511412422489,-0.6595652672959924
6,305,-0.7444057408008027,-0.086895246066734,-0.4979113595972553
33,365,-0.8779533227983504,-0.976695757124536,1.3358874712428237
6,390,-0.4494472978564487,-0.0841373267295534,-0.5883155183411358
35,440,-0.7046778174241949,0.2955010695038298,-0.5290416945028482
5,485,-0.162845029886187,-0.5213467934246935,0.1117340966294028
32,505,1.2262798676341269,1.4022419228737133,-0.0496663204679601
34,510,0.4166293216048711,0.0232444360921687,0.0193800655826836
4,535,-0.0414161389594965,-0.7281853797359302,-0.7310222877526901
30,595,-0.3984590333773765,-1.255138738527862,-0.619317932527606
12,635,-0.4845618582856414,-1.5266340017711049,0.3960286845551866
5,685,-0.2182290842588988,-0.3849095178167732,-0.5069300402784994
35,720,-0.5625259854755998,0.2592109658237824,-0.6428401536762648
5,770,-0.5326589425062378,-0.2770878321283517,-0.3368847455017418
27,795,-0.8502264774916644,-1.071884084925783,1.1507913519444042
5,855,-0.2949752651751092,-0.4337418973454607,0.137805748812668
32,885,1.200045491557027,1.4741557852418896,-0.2157090860811208
4,905,-0.1048597943990126,-1.0371149020320685,-0.5025410863310007
35,965,-0.569995234323044,0.929610568657498,-0.5819359295321261
38,995,-0.8350210097729711,1.0293590016965517,-0.3690760073212496
23,1035,-1.392076792796926,-0.5876106200690654,2.158431886763176
33,1095,-1.205096323122607,-0.7681303252896204,1.5227653586421006
30,1120,-0.5328209366138217,-0.8955310890787057,-0.4642038505305002
5,1180,-0.2115438480216177,-0.5957658569821056,-0.4242150481796977
32,1235,1.260557121637507,1.451376143243161,-0.3969619760312688
6,1255,-0.271711151597245,-0.2324284662961391,-0.7255964369449881
8,1290,-0.2417022961107056,0.6749614058711951,-0.7658439116544629
16,1315,0.92710020024853,0.3025106713190194,-0.4682837626546865
32,1340,1.1807211459966878,1.432264771594992,-0.1446273429853637
4,1355,-0.1990603206296002,-0.5387597396364724,-0.831204073571568
35,1400,-0.585136095601304,0.7173530624209215,-0.5557978768045644
35,1455,-0.6294978263246986,0.6273295410305992,-0.7331394771070692
38,1485,-0.5567965515527017,1.426780838631633,-0.4956868513163379
38,1540,-0.5089327413237531,1.4600602501491582,-0.688754526659858
35,1565,-0.7026776677544844,0.3399814266482252,-0.5053674910063994
6,1585,-1.165194955510833,-0.1461764569645359,-0.5032909388480042
10,1640,-0.6010613380205352,-0.9928116527205556,0.1882872204891809
26,1685,-0.8532891538070786,-0.7048733462852868,0.7995697446086513
9,1735,-0.8792475326199276,-0.5451313495572367,0.2189795140937182
8,1745,0.1882069739296237,0.4222780160891848,-0.3281939736240353
25,1755,0.8535119491451791,1.0703633388788616,-0.3902817259343011
32,1775,1.298853243821568,1.4679769179686393,0.0014634100510085
8,1790,0.2611574795232726,0.7966526345697084,-0.2517709190875551
5,1795,-0.3861745215552817,-0.5644333565058264,0.119802182907134
4,1815,-0.1951006124690478,-0.8538052499157547,-0.4870061238324373
16,1825,0.957151269702264,0.2636375328904208,-0.2961896181461105
32,1845,1.1024312996430068,1.3969938359076817,-0.4768135721098575
11,1875,-0.3554535388222272,-1.4742407559377555,0.0896823514574115
10,1920,-0.9325383568364312,-0.5835707835757186,0.4934262320080787
9,1940,-0.5448316312219186,-0.2916863680032356,0.6222784390343314
26,1970,-0.9960095068729572,-0.5204850068520185,0.6964046397174041
24,2015,0.1838710184846526,1.1038237900328205,-0.5174171522784027
32,2045,1.3923861814362577,1.4809439068040735,0.1938862202606341
24,2060,0.6527545599367316,1.073631090388854,-0.362156390833227
24,2085,0.3419191928027487,1.532523182757481,-0.593546184479048
38,2120,-0.8150518521407575,1.124406540632506,-0.222009442727489
23,2170,-1.1267091755337513,-0.4537014242264309,1.735008901192881
9,2215,-1.2372972750209443,-0.1599258467501334,0.7186986208569625
35,2240,-0.5183999793179738,0.3396063674661624,0.0198427363313066
33,2270,-1.1714187215228276,-0.8599277143710807,1.1920290754250846
30,2330,-0.4739830996049111,-0.7505586577351261,-0.1700648994538693
16,2345,0.5536587140346055,0.6560395487686642,-0.6152133347608572
32,2370,1.348419412315466,1.3936686657938584,0.143452445956288
24,2380,0.6214511102638441,1.275261850577328,-0.2740922947873523
38,2440,-0.6125480336212549,1.1573885144349847,-0.2547292250154255
22,2475,-1.3204395036287262,-0.7047071774421791,2.5142313607090223
23,2515,-1.1993649293328146,-0.6857212446328428,2.155888900337619
6,2530,-0.841564037365592,-0.1551628949407524,-0.4387332968265051
26,2570,-1.2961264635291856,-0.1669607449407958,1.079779392625162
35,2595,-0.8295985647712869,0.0436207737094165,-0.2171749460408261
12,2610,-0.2185319388910235,-1.2055046475395756,0.2680360589551222
3,2620,0.3333034040139387,-0.5836849577830558,-0.4267433392830478
16,2650,0.8785073653753698,0.2792783661722662,-0.6429706495666995
32,2685,1.3479868742882002,1.1862827829921574,-0.787699676421972
32,2730,1.3302906292395145,1.3667892672429611,-0.3671626861311483
8,2760,0.1903309008019421,0.542738127072591,-0.7050048543522555
8,2785,0.1031225220159895,1.2319309619993215,-0.2741885968969433
35,2835,-0.5731202106879836,0.6875207687320749,-0.6651773371972318
38,2850,-0.5703830052449607,1.447325838277726,0.1544169882530559
35,2880,-0.9343785898656232,0.5699676109520346,-0.403969478519373
26,2940,-0.963361458922737,-0.5664224715151047,0.9730043266360728
26,3000,-0.7386961834095865,-0.7608051077721412,1.0901971952383789
5,3050,-0.2999862840156811,-0.4535297758815642,-0.5164722876902618
8,3060,0.5034455830050372,0.4623650018477964,-0.2477042937084062
31,3105,1.535531765909974,1.710023638318062,-0.1523048547743502
24,3125,0.6506300839634759,1.1034854743981797,-0.5975513898062721
37,3185,1.9096621005252228,1.0079192954412444,-0.592481655681941
16,3245,0.3908692431905657,0.6693479255347247,-0.7998357454033824
16,3305,0.5031865434720544,0.7860660493262982,-0.8479271463363386
16,3325,0.5839900096775658,0.8319049296196607,-0.7593070344773891
34,3365,0.3615414798242319,0.1557792125294063,-0.7835070736423884
24,3395,0.6578377883528256,1.0159345973968656,-0.7951957969224843
24,3420,0.3822680409861902,1.4786451802550384,-0.4547663630429366
38,3455,-0.6576521755606517,1.3390525704445029,-0.1994320149294112
6,3490,-1.0444462150745468,0.0523805097123909,-0.1774736793759098
34,3520,-0.1986885098723413,0.3403283175798111,-0.2735232839828571
32,3570,1.4597687711227203,1.6725127407777187,-0.2108438095323685
35,3595,-0.7825077544661513,0.8205151491692477,-0.5463279973698612
38,3655,-0.507487168000113,1.4546327839626454,-0.6647398378609751
38,3715,-0.601269512430292,1.4131441126368411,-0.400094668070686
10,3720,-0.6337953043482137,-0.8081095091128854,0.6812914706662694
27,3755,-0.7953648496027502,-0.9086537658927736,1.1308699440090495
12,3775,-0.4568537380824874,-1.3076581203855058,0.4056077586495514
5,3800,-0.6847516205709347,-0.2235380309976491,0.1632081333734713
32,3845,1.2888499456161917,1.5025259323056788,-0.1796834161159244
36,3895,0.1237703181571122,-1.0698160253631317,-0.429290166847982
2,3930,-0.7766619031433302,0.437326781741631,0.162362871136853
16,3935,0.4418489502467114,0.922814771078288,-0.8172402170989909
34,3975,0.4062521553773032,-0.0646871478556896,-0.7039362125542644
38,4035,-0.462925420621403,1.3569199340094655,-0.1545143361546667
9,4055,-0.7081748687860002,0.0767370625237754,0.3312675907981894
10,4095,-0.6003419987248025,-0.8908924434326347,0.2023951283910559
35,4125,-0.6390083743275008,0.5111704361700141,-0.0179074033298933
4,4165,-0.5737227551862417,-0.4445816604350334,-0.736865616947181
3,4225,0.2064660627134645,-0.8312691134802711,-0.3734129442919068
27,4235,-0.1035660333728547,-1.2565517970409614,0.9750256049916964
23,4260,-0.92587488166054,-0.9337912840503564,1.79323101804891
26,4290,-1.211807960325838,-0.5552989014589944,1.1147139558121817
2,4315,-0.9818419452680422,0.753815650859791,-0.1664593371873635
6,4350,-0.607951320976007,-0.2364236303885715,-0.6288070390088275
8,4355,0.5996898316976196,0.6608822302082362,0.2577715535760687
