,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,GS_fra_index,GS_fre_index,color
0,Morning_Light-on,1,male,36.302524120817054,5.092686901609289,673.0,64.0,7.128363636363637,10.515625,0.14028465030862622,0.0950965824665676,#F5B25E
1,Night_Light-on,3,female,30.586677531065394,11.212244671197615,585.0,68.0,2.7279709307126936,8.602941176470589,0.3665728211182756,0.11623931623931624,#398FCB
2,Night_Light-on,3,male,17.351247245319357,26.28196818459601,384.0,100.0,0.660195885005637,3.84,1.5147019584823096,0.2604166666666667,#398FCB
3,Night_Light-on,3,female,24.58564047482361,23.159688142373007,397.0,81.0,1.0615704461858309,4.901234567901234,0.9420006025911418,0.2040302267002519,#398FCB
4,Morning_Light-on,1,male,39.0118335524732,6.396414748421267,583.0,77.0,6.099015634047482,7.571428571428571,0.16396088483812776,0.1320754716981132,#F5B25E
5,Morning_Light-on,1,male,35.9552954684346,10.399266653086169,565.0,88.0,3.4574837503338967,6.420454545454546,0.2892276789163298,0.15575221238938053,#F5B25E
6,Morning_Light-on,1,male,34.236745124909724,7.647363840071113,522.0,72.0,4.476934253541591,7.25,0.22336713995943203,0.13793103448275862,#F5B25E
7,Night_Light-on,3,female,28.534787681253356,11.702068556825127,562.0,89.0,2.438439626523184,6.314606741573034,0.41009832235454463,0.1583629893238434,#398FCB
8,Night_Light-on,3,male,25.55232504305635,11.31502435230282,483.0,93.0,2.2582651391162027,5.193548387096774,0.4428177996811133,0.19254658385093168,#398FCB
9,Night_Light-on,3,female,25.84862682642271,12.413192836904386,445.0,113.0,2.082351186036103,3.938053097345133,0.4802263934661126,0.2539325842696629,#398FCB
10,Morning_Light-on,1,female,26.182892275782887,4.931572806903831,529.0,52.0,5.309237701840031,10.173076923076923,0.1883509566078438,0.09829867674858223,#F5B25E
11,Morning_Light-on,1,male,32.65338247004574,6.060297412915054,573.0,60.0,5.388082505729564,9.55,0.18559478236211543,0.10471204188481675,#F5B25E
12,Morning_Light-on,1,female,22.05133428396822,9.401100020370748,452.0,75.0,2.3456121343445284,6.026666666666666,0.4263279445727483,0.16592920353982302,#F5B25E
13,Night_Light-on,3,male,26.580121854108405,11.152984314524343,478.0,84.0,2.3832295558322953,5.690476190476191,0.4195986901693026,0.17573221757322174,#398FCB
14,Night_Light-on,3,male,30.853349136095115,19.085538621085576,453.0,72.0,1.6165825732582964,6.291666666666667,0.6185888778848173,0.15894039735099338,#398FCB
15,Night_Light-on,3,female,28.09033500620382,18.442934128409785,524.0,81.0,1.5230946882217091,6.469135802469136,0.6565579984836998,0.15458015267175573,#398FCB
16,Morning_Light-on,1,female,19.77999592585048,3.1083908961277062,427.0,53.0,6.363419719988084,8.056603773584905,0.1571482070967138,0.12412177985948478,#F5B25E
17,Morning_Light-on,1,female,29.351469471656884,7.431619104057482,560.0,71.0,3.9495389982556697,7.887323943661972,0.25319410706962364,0.12678571428571428,#F5B25E
18,Morning_Light-on,1,female,27.80884831200578,3.94173966184559,543.0,42.0,7.054968287526427,12.928571428571429,0.14174408151033863,0.07734806629834254,#F5B25E
19,Night_Light-on,3,male,28.01625956036223,19.009611289097947,482.0,81.0,1.4737944471505113,5.950617283950617,0.6785206729021384,0.16804979253112035,#398FCB
20,Night_Light-on,3,female,26.29307950147225,18.546639752588014,498.0,113.0,1.4176734897653518,4.407079646017699,0.70538103958304,0.22690763052208834,#398FCB
21,Night_Light-on,3,male,31.87188651641697,12.843756365858628,529.0,86.0,2.4815081825391103,6.151162790697675,0.40298073850265825,0.16257088846880907,#398FCB
22,Morning_Light-on,1,female,30.347784218226266,6.940869275356951,562.0,51.0,4.372331910352188,11.019607843137255,0.22871090770404268,0.09074733096085409,#F5B25E
23,Morning_Light-on,1,male,23.389322024481935,13.906739013685437,446.0,100.0,1.6818696317997206,4.46,0.5945764053840062,0.2242152466367713,#F5B25E
24,Morning_Light-on,1,female,29.77555139909998,4.3426730124631945,509.0,46.0,6.8565031982942415,11.065217391304348,0.14584693845818955,0.09037328094302555,#F5B25E
25,Night_Light-on,3,male,23.86525676401415,19.4873979147762,346.0,65.0,1.2246507649909721,5.323076923076923,0.8165593233491115,0.18786127167630057,#398FCB
26,Morning_Light-on,1,male,29.410729828330158,10.145558251078723,573.0,90.0,2.8988774299534548,6.366666666666666,0.34496111828227805,0.15706806282722513,#F5B25E
27,Morning_Light-on,1,female,28.088483120057777,10.988166447526806,515.0,86.0,2.5562484199882025,5.988372093023256,0.3911982858084721,0.1669902912621359,#F5B25E
28,Morning_Light-on,1,female,28.987573843960075,5.2982462638197,581.0,55.0,5.47116392869626,10.563636363636364,0.18277646457548072,0.09466437177280551,#F5B25E
29,Night_Light-on,3,male,24.84953425063427,15.025278245893443,306.0,72.0,1.6538485240648302,4.25,0.604650296232813,0.23529411764705882,#398FCB
30,Night_Light-on,3,male,25.66714198411082,17.11142798940721,328.0,56.0,1.5000000000000002,5.857142857142857,0.6666666666666666,0.17073170731707318,#398FCB
31,Night_Light-on,3,male,24.296746236041407,7.365877145873072,472.0,76.0,3.29855436832181,6.2105263157894735,0.30316310975609756,0.16101694915254236,#398FCB
32,Morning_Light-on,1,male,32.26726420859646,3.608400155558436,609.0,23.0,8.94226327944573,26.47826086956522,0.1118285123966942,0.03776683087027915,#F5B25E
33,Morning_Light-on,1,male,28.7838663678957,9.078871830959832,459.0,74.0,3.1704232534421215,6.202702702702703,0.3154152994917326,0.16122004357298475,#F5B25E
34,Morning_Light-on,1,female,36.853460249263875,14.716013259504807,545.0,83.0,2.5043100736173156,6.566265060240964,0.39931157508605314,0.15229357798165138,#F5B25E
35,Night_Light-on,3,female,25.068982758939978,24.28563491916517,465.0,116.0,1.03225560469727,4.008620689655173,0.9687523084878482,0.24946236559139784,#398FCB
36,Night_Light-on,3,female,23.21339284060816,12.385414544713791,439.0,82.0,1.8742523923444978,5.353658536585366,0.5335460710011967,0.1867881548974943,#398FCB
37,Night_Light-on,3,male,22.25318987388655,16.778088483120058,355.0,63.0,1.326324503311258,5.634920634920635,0.753963300461865,0.17746478873239438,#398FCB
38,Morning_Light-on,1,male,28.696827719031837,4.714902127817182,530.0,46.0,6.086410054988217,11.521739130434783,0.1643004646360351,0.08679245283018867,#F5B25E
39,Morning_Light-on,1,male,14.746569380914462,1.8731828367191985,390.0,32.0,7.872466633712309,12.1875,0.12702499058143915,0.08205128205128205,#F5B25E
40,Morning_Light-on,1,female,24.545824922683753,18.516083631178354,438.0,72.0,1.325648847327099,6.083333333333333,0.754347580067147,0.1643835616438356,#F5B25E
41,Night_Light-on,3,female,26.27733846923091,12.525231948739792,445.0,81.0,2.097952243660826,5.493827160493828,0.4766552732654428,0.18202247191011237,#398FCB
42,Night_Light-on,3,female,23.27172725420841,15.916035482138557,509.0,47.0,1.4621560300191985,10.829787234042554,0.6839215374209207,0.09233791748526522,#398FCB
43,Night_Light-on,3,female,27.084760828904237,12.940980388525713,456.0,76.0,2.092945048654837,6.0,0.47779563091860106,0.16666666666666666,#398FCB
44,Morning_Light-on,1,female,44.40915572510602,6.586233078390341,610.0,47.0,6.742724588781104,12.97872340425532,0.14830800025020333,0.07704918032786885,#F5B25E
45,Morning_Light-on,1,male,24.756939943332284,8.834422859682586,494.0,81.0,2.802326800125773,6.098765432098766,0.3568463178367057,0.16396761133603238,#F5B25E
46,Night_Light-on,3,female,28.31348728680161,19.62351154651012,399.0,93.0,1.4428348983154817,4.290322580645161,0.6930799921512197,0.23308270676691728,#398FCB
47,Night_Light-on,3,male,24.288412748384232,10.889090538713681,428.0,130.0,2.230527210884354,3.292307692307692,0.4483245015439747,0.3037383177570093,#398FCB
48,Morning_Light-on,1,male,35.34046926794941,8.611270579084799,448.0,77.0,4.1039784946236555,5.818181818181818,0.2436659941834569,0.171875,#F5B25E
49,Morning_Light-on,1,female,25.441211874293966,12.09744624900461,473.0,72.0,2.1030233448143894,6.569444444444445,0.4755058960547387,0.1522198731501057,#F5B25E
50,Night_Light-on,3,female,31.992259115909555,15.54195448063853,518.0,75.0,2.0584450402144774,6.906666666666666,0.48580359468611617,0.14478764478764478,#398FCB
51,Night_Light-on,3,male,22.232819126280116,8.634419155910294,454.0,86.0,2.5749061662198396,5.27906976744186,0.3883636666527841,0.1894273127753304,#398FCB
52,Morning_Light-on,1,female,27.751439841478547,8.985351580584826,530.0,68.0,3.0885201978565537,7.794117647058823,0.3237796536652097,0.12830188679245283,#F5B25E
53,Morning_Light-on,1,male,37.209022389303506,10.127039389618327,544.0,61.0,3.6742251074334824,8.918032786885245,0.27216623118078886,0.11213235294117647,#F5B25E
54,Night_Light-on,3,female,26.598640715568806,18.56330672790237,334.0,83.0,1.4328611332801275,4.024096385542169,0.6979043375339414,0.24850299401197604,#398FCB
55,Night_Light-on,3,male,20.874460638159967,16.660493712846534,310.0,71.0,1.2529316956594232,4.366197183098592,0.7981281050390348,0.22903225806451613,#398FCB
56,Morning_Light-on,1,female,35.09879812589122,3.43617474397674,639.0,47.0,10.214497440043116,13.595744680851064,0.0979000685907244,0.07355242566510173,#F5B25E
