movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
rising,2.6849642004773266,2.0,42.5,1947.0,male,Morning_Light-on,1
hunching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
rearing,0.38782816229116945,0.0,0.0,0.0,male,Morning_Light-on,1
climbing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,1.6706443914081146,1.0,60.0,0.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
trotting,7.3233247894544125,6.0,38.333333333333336,1799.0,male,Morning_Light-on,1
left_turning,6.334675942878067,6.0,32.5,3128.0,male,Morning_Light-on,1
right_turning,5.565726839985354,3.0,56.333333333333336,4140.5,male,Morning_Light-on,1
walking,35.15195898938118,23.0,57.989695652173914,744.9694545454545,male,Morning_Light-on,1
stepping,6.517759062614427,4.0,41.25,3783.3333333333335,male,Morning_Light-on,1
sniffing,22.18967411204687,9.0,97.22222222222223,2111.25,male,Morning_Light-on,1
rising,12.815818381545222,6.0,61.333333333333336,2800.2,male,Morning_Light-on,1
hunching,0.10984987184181619,0.0,0.0,0.0,male,Morning_Light-on,1
rearing,3.36872940314903,2.0,46.0,944.0,male,Morning_Light-on,1
climbing,0.6224826071036251,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,1.0707756594411073,2.0,25.5,3962.0,female,Night_Light-on,3
trotting,8.409506398537477,11.0,31.074936363636365,1057.52288,female,Night_Light-on,3
left_turning,9.401932619482894,7.0,43.714285714285715,1758.6666666666667,female,Night_Light-on,3
right_turning,3.786889527291721,6.0,30.833333333333332,2844.4,female,Night_Light-on,3
walking,29.276573517889787,25.0,55.277204000000005,607.451025,female,Night_Light-on,3
stepping,9.271350221990076,8.0,45.0,2297.4285714285716,female,Night_Light-on,3
sniffing,13.763384695743014,11.0,49.62803636363636,920.46561,female,Night_Light-on,3
rising,4.413685035257248,4.0,29.75,1301.3333333333333,female,Night_Light-on,3
hunching,12.979890310786105,7.0,71.14285714285714,1478.3333333333333,female,Night_Light-on,3
rearing,6.346304518150954,5.0,50.0,232.75,female,Night_Light-on,3
climbing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,1.2797074954296161,1.0,49.0,0.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
running,0.7396970764353645,1.0,21.0,0.0,male,Night_Light-on,3
trotting,3.8746037337090526,3.0,32.666666666666664,2981.5,male,Night_Light-on,3
left_turning,23.247622402254315,16.0,49.8887875,1010.731,male,Night_Light-on,3
right_turning,2.3247622402254318,1.0,60.0,0.0,male,Night_Light-on,3
walking,24.48045086297992,22.0,36.10806363636364,697.3527571428571,male,Night_Light-on,3
stepping,3.9098274040154988,4.0,36.25,2428.6666666666665,male,Night_Light-on,3
sniffing,23.705530116238112,11.0,46.819318181818176,1379.60227,male,Night_Light-on,3
rising,15.322296583303979,11.0,48.46218181818181,1644.9515800000001,male,Night_Light-on,3
hunching,1.021486438886932,0.0,0.0,0.0,male,Night_Light-on,3
rearing,0.9158154279675942,0.0,0.0,0.0,male,Night_Light-on,3
climbing,0.07044734061289186,0.0,0.0,0.0,male,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,male,Night_Light-on,3
grooming,0.3874603733709053,0.0,0.0,0.0,male,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,male,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,male,Night_Light-on,3
running,0.0,0.0,0.0,0.0,female,Night_Light-on,3
trotting,7.798960138648179,5.0,24.2,2913.0,female,Night_Light-on,3
left_turning,20.912767186597343,7.0,49.57142857142857,1382.8333333333333,female,Night_Light-on,3
right_turning,4.217215482380127,1.0,45.0,0.0,female,Night_Light-on,3
walking,43.73194685153091,16.0,58.938075,1006.4951533333333,female,Night_Light-on,3
stepping,5.430387059503177,2.0,50.0,7785.0,female,Night_Light-on,3
sniffing,17.042172154823803,4.0,55.75,2293.3333333333335,female,Night_Light-on,3
rising,0.28885037550548814,0.0,0.0,0.0,female,Night_Light-on,3
hunching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
rearing,0.28885037550548814,0.0,0.0,0.0,female,Night_Light-on,3
climbing,0.28885037550548814,0.0,0.0,0.0,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,0.0,0.0,0.0,0.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
