revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
stepping,11888,11863,11888,25
running,11892,11888,11892,4
rearing,11897,11892,11897,5
sniffing,11946,11897,11946,49
grooming,12040,11946,12040,94
sniffing,12067,12040,12067,27
grooming,12202,12067,12202,135
walking,12248,12202,12248,46
grooming,12249,12248,12249,1
left_turning,12305,12249,12305,56
rearing,12317,12305,12317,12
climbing,12347,12317,12347,30
left_turning,12362,12347,12362,15
grooming,12461,12362,12461,99
trotting,12488,12461,12488,27
walking,12545,12488,12545,57
grooming,12659,12545,12659,114
climbing,12716,12659,12716,57
grooming,12826,12716,12826,110
sniffing,12878,12826,12878,52
grooming,13331,12878,13331,453
walking,13332,13331,13332,1
stepping,13361,13332,13361,29
sniffing,13394,13361,13394,33
stepping,13414,13394,13414,20
walking,13418,13414,13418,4
trotting,13419,13418,13419,1
walking,13469,13419,13469,50
stepping,13479,13469,13479,10
rising,13506,13479,13506,27
grooming,14110,13506,14110,604
right_turning,14114,14110,14114,4
stepping,14150,14114,14150,36
rising,14204,14150,14204,54
grooming,14205,14204,14205,1
rising,14206,14205,14206,1
walking,14236,14206,14236,30
rearing,14261,14236,14261,25
grooming,15133,14261,15133,872
sniffing,15173,15133,15173,40
stepping,15204,15173,15204,31
walking,15229,15204,15229,25
rearing,15411,15229,15411,182
hunching,15505,15411,15505,94
left_turning,15526,15505,15526,21
rising,15569,15526,15569,43
sniffing,15570,15569,15570,1
stepping,15603,15570,15603,33
sniffing,15640,15603,15640,37
grooming,15787,15640,15787,147
sniffing,15818,15787,15818,31
hunching,15850,15818,15850,32
rearing,15858,15850,15858,8
grooming,16042,15858,16042,184
running,16066,16042,16066,24
stepping,16108,16066,16108,42
sniffing,16193,16108,16193,85
climbing,16246,16193,16246,53
walking,16272,16246,16272,26
sniffing,16273,16272,16273,1
rising,16298,16273,16298,25
rearing,16454,16298,16454,156
right_turning,16461,16454,16461,7
stepping,16468,16461,16468,7
sniffing,16469,16468,16469,1
left_turning,16490,16469,16490,21
rearing,16491,16490,16491,1
walking,16492,16491,16492,1
rising,16493,16492,16493,1
climbing,16575,16493,16575,82
grooming,16890,16575,16890,315
sniffing,16910,16890,16910,20
stepping,16935,16910,16935,25
sniffing,16979,16935,16979,44
rising,17004,16979,17004,25
walking,17026,17004,17026,22
sniffing,17058,17026,17058,32
grooming,17059,17058,17059,1
walking,17060,17059,17060,1
grooming,17091,17060,17091,31
running,17107,17091,17107,16
rising,17108,17107,17108,1
stepping,17127,17108,17127,19
grooming,17161,17127,17161,34
running,17187,17161,17187,26
rising,17218,17187,17218,31
trotting,17259,17218,17259,41
stepping,17298,17259,17298,39
sniffing,17369,17298,17369,71
trotting,17410,17369,17410,41
walking,17411,17410,17411,1
rising,17417,17411,17417,6
sniffing,17460,17417,17460,43
right_turning,17479,17460,17479,19
trotting,17483,17479,17483,4
stepping,17524,17483,17524,41
rising,17616,17524,17616,92
rearing,17617,17616,17617,1
climbing,17668,17617,17668,51
left_turning,17693,17668,17693,25
grooming,17694,17693,17694,1
trotting,17733,17694,17733,39
walking,17738,17733,17738,5
stepping,17752,17738,17752,14
left_turning,17801,17752,17801,49
trotting,17802,17801,17802,1
right_turning,17823,17802,17823,21
stepping,17876,17823,17876,53
right_turning,17881,17876,17881,5
running,17925,17881,17925,44
rising,17954,17925,17954,29
rearing,18023,17954,18023,69
grooming,18165,18023,18165,142
hunching,18251,18165,18251,86
left_turning,18274,18251,18274,23
trotting,18303,18274,18303,29
left_turning,18308,18303,18308,5
sniffing,18317,18308,18317,9
grooming,18318,18317,18318,1
sniffing,18449,18318,18449,131
rising,18463,18449,18463,14
sniffing,18499,18463,18499,36
climbing,18598,18499,18598,99
grooming,18922,18598,18922,324
rearing,18965,18922,18965,43
stepping,18996,18965,18996,31
left_turning,19027,18996,19027,31
stepping,19028,19027,19028,1
walking,19029,19028,19029,1
sniffing,19101,19029,19101,72
right_turning,19104,19101,19104,3
walking,19149,19104,19149,45
sniffing,19186,19149,19186,37
walking,19267,19186,19267,81
sniffing,19268,19267,19268,1
left_turning,19308,19268,19308,40
sniffing,19356,19308,19356,48
stepping,19430,19356,19430,74
walking,19458,19430,19458,28
sniffing,19482,19458,19482,24
rising,19483,19482,19483,1
grooming,19506,19483,19506,23
climbing,19516,19506,19516,10
stepping,19551,19516,19551,35
sniffing,19601,19551,19601,50
left_turning,19611,19601,19611,10
trotting,19630,19611,19630,19
stepping,19635,19630,19635,5
grooming,19638,19635,19638,3
hunching,19836,19638,19836,198
rising,19872,19836,19872,36
stepping,19875,19872,19875,3
grooming,19876,19875,19876,1
sniffing,19936,19876,19936,60
rearing,19937,19936,19937,1
grooming,20068,19937,20068,131
rising,20128,20068,20128,60
rearing,20137,20128,20137,9
grooming,20332,20137,20332,195
rearing,20482,20332,20482,150
walking,20521,20482,20521,39
stepping,20569,20521,20569,48
rising,20601,20569,20601,32
grooming,20996,20601,20996,395
rising,21025,20996,21025,29
left_turning,21027,21025,21027,2
walking,21028,21027,21028,1
sniffing,21062,21028,21062,34
rising,21063,21062,21063,1
rearing,21065,21063,21065,2
hunching,21133,21065,21133,68
grooming,21261,21133,21261,128
rearing,21262,21261,21262,1
grooming,21601,21262,21601,339
left_turning,21602,21601,21602,1
sniffing,21625,21602,21625,23
stepping,21634,21625,21634,9
sniffing,21745,21634,21745,111
rising,21883,21745,21883,138
sniffing,21928,21883,21928,45
grooming,22046,21928,22046,118
walking,22074,22046,22074,28
trotting,22100,22074,22100,26
stepping,22104,22100,22104,4
sniffing,22109,22104,22109,5
rising,22120,22109,22120,11
walking,22175,22120,22175,55
sniffing,22191,22175,22191,16
hunching,22210,22191,22210,19
stepping,22233,22210,22233,23
left_turning,22281,22233,22281,48
trotting,22299,22281,22299,18
walking,22317,22299,22317,18
grooming,22318,22317,22318,1
rearing,22414,22318,22414,96
hunching,22481,22414,22481,67
left_turning,22494,22481,22494,13
trotting,22518,22494,22518,24
walking,22563,22518,22563,45
sniffing,22597,22563,22597,34
stepping,22640,22597,22640,43
grooming,22641,22640,22641,1
stepping,22694,22641,22694,53
grooming,22785,22694,22785,91
sniffing,22840,22785,22840,55
hunching,22872,22840,22872,32
rising,22984,22872,22984,112
rearing,23053,22984,23053,69
climbing,23107,23053,23107,54
walking,23108,23107,23108,1
grooming,23109,23108,23109,1
sniffing,23134,23109,23134,25
walking,23160,23134,23160,26
sniffing,23184,23160,23184,24
rearing,23248,23184,23248,64
grooming,23435,23248,23435,187
sniffing,23436,23435,23436,1
rising,23437,23436,23437,1
left_turning,23459,23437,23459,22
walking,23487,23459,23487,28
sniffing,23488,23487,23488,1
rising,23489,23488,23489,1
