revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,52,0,52,52
left_turning,104,52,104,52
walking,107,104,107,3
sniffing,177,107,177,70
rearing,343,177,343,166
hunching,383,343,383,40
grooming,418,383,418,35
right_turning,419,418,419,1
sniffing,495,419,495,76
left_turning,546,495,546,51
walking,596,546,596,50
stepping,703,596,703,107
climbing,737,703,737,34
grooming,1225,737,1225,488
hunching,1295,1225,1295,70
grooming,1296,1295,1296,1
hunching,1463,1296,1463,167
sniffing,1589,1463,1589,126
grooming,1877,1589,1877,288
left_turning,1905,1877,1905,28
right_turning,1911,1905,1911,6
stepping,1920,1911,1920,9
walking,1978,1920,1978,58
sniffing,1989,1978,1989,11
rearing,1990,1989,1990,1
sniffing,2066,1990,2066,76
walking,2070,2066,2070,4
stepping,2071,2070,2071,1
rearing,2153,2071,2153,82
grooming,2678,2153,2678,525
left_turning,2709,2678,2709,31
sniffing,2727,2709,2727,18
right_turning,2735,2727,2735,8
walking,2767,2735,2767,32
trotting,2780,2767,2780,13
rising,3041,2780,3041,261
rearing,3205,3041,3205,164
hunching,3206,3205,3206,1
grooming,3312,3206,3312,106
walking,3316,3312,3316,4
sniffing,3317,3316,3317,1
walking,3359,3317,3359,42
sniffing,3381,3359,3381,22
rising,3386,3381,3386,5
grooming,3387,3386,3387,1
stepping,3388,3387,3388,1
rising,3397,3388,3397,9
right_turning,3438,3397,3438,41
trotting,3459,3438,3459,21
sniffing,3515,3459,3515,56
stepping,3520,3515,3520,5
walking,3536,3520,3536,16
rising,3575,3536,3575,39
hunching,3688,3575,3688,113
grooming,3689,3688,3689,1
hunching,3765,3689,3765,76
running,3817,3765,3817,52
walking,3854,3817,3854,37
sniffing,3974,3854,3974,120
rising,3991,3974,3991,17
walking,4046,3991,4046,55
sniffing,4083,4046,4083,37
rising,4176,4083,4176,93
sniffing,4188,4176,4188,12
walking,4193,4188,4193,5
rising,4234,4193,4234,41
climbing,4284,4234,4284,50
left_turning,4320,4284,4320,36
running,4327,4320,4327,7
walking,4387,4327,4387,60
sniffing,4394,4387,4394,7
left_turning,4414,4394,4414,20
sniffing,4415,4414,4415,1
grooming,4634,4415,4634,219
sniffing,4667,4634,4667,33
stepping,4688,4667,4688,21
rising,4689,4688,4689,1
hunching,4810,4689,4810,121
stepping,4833,4810,4833,23
trotting,4855,4833,4855,22
walking,4856,4855,4856,1
sniffing,4857,4856,4857,1
walking,4885,4857,4885,28
stepping,4941,4885,4941,56
sniffing,4961,4941,4961,20
walking,4976,4961,4976,15
sniffing,4998,4976,4998,22
grooming,5068,4998,5068,70
rearing,5111,5068,5111,43
climbing,5139,5111,5139,28
rearing,5223,5139,5223,84
sniffing,5269,5223,5269,46
walking,5270,5269,5270,1
left_turning,5315,5270,5315,45
sniffing,5322,5315,5322,7
rising,5362,5322,5362,40
sniffing,5406,5362,5406,44
walking,5431,5406,5431,25
trotting,5446,5431,5446,15
running,5457,5446,5457,11
trotting,5478,5457,5478,21
walking,5503,5478,5503,25
left_turning,5531,5503,5531,28
rising,5546,5531,5546,15
left_turning,5562,5546,5562,16
sniffing,5580,5562,5580,18
stepping,5582,5580,5582,2
sniffing,5629,5582,5629,47
rising,5677,5629,5677,48
walking,5713,5677,5713,36
sniffing,5714,5713,5714,1
grooming,5853,5714,5853,139
hunching,5874,5853,5874,21
grooming,5875,5874,5875,1
rearing,5880,5875,5880,5
rising,5960,5880,5960,80
sniffing,5983,5960,5983,23
walking,5984,5983,5984,1
stepping,6024,5984,6024,40
rising,6071,6024,6071,47
left_turning,6072,6071,6072,1
trotting,6100,6072,6100,28
sniffing,6215,6100,6215,115
grooming,6546,6215,6546,331
trotting,6576,6546,6576,30
walking,6653,6576,6653,77
rising,6657,6653,6657,4
trotting,6664,6657,6664,7
sniffing,6681,6664,6681,17
grooming,7072,6681,7072,391
rearing,7090,7072,7090,18
grooming,7214,7090,7214,124
walking,7217,7214,7217,3
stepping,7341,7217,7341,124
right_turning,7348,7341,7348,7
walking,7349,7348,7349,1
stepping,7370,7349,7370,21
trotting,7389,7370,7389,19
walking,7414,7389,7414,25
sniffing,7415,7414,7415,1
walking,7455,7415,7455,40
trotting,7466,7455,7466,11
walking,7488,7466,7488,22
running,7510,7488,7510,22
sniffing,7537,7510,7537,27
rising,7589,7537,7589,52
rearing,7615,7589,7615,26
left_turning,7616,7615,7616,1
sniffing,7717,7616,7717,101
rearing,7836,7717,7836,119
hunching,8104,7836,8104,268
rising,8140,8104,8140,36
rearing,8141,8140,8141,1
climbing,8174,8141,8174,33
grooming,8267,8174,8267,93
climbing,8317,8267,8317,50
hunching,8550,8317,8550,233
rearing,8656,8550,8656,106
grooming,8657,8656,8657,1
right_turning,8670,8657,8670,13
stepping,8704,8670,8704,34
running,8725,8704,8725,21
rising,8744,8725,8744,19
grooming,8849,8744,8849,105
sniffing,8865,8849,8865,16
rising,8938,8865,8938,73
right_turning,8961,8938,8961,23
trotting,8977,8961,8977,16
running,8993,8977,8993,16
walking,9009,8993,9009,16
sniffing,9031,9009,9031,22
right_turning,9058,9031,9058,27
trotting,9059,9058,9059,1
rising,9060,9059,9060,1
rearing,9081,9060,9081,21
trotting,9118,9081,9118,37
sniffing,9170,9118,9170,52
walking,9202,9170,9202,32
sniffing,9260,9202,9260,58
rearing,9321,9260,9321,61
sniffing,9409,9321,9409,88
walking,9437,9409,9437,28
stepping,9473,9437,9473,36
walking,9500,9473,9500,27
sniffing,9675,9500,9675,175
running,9712,9675,9712,37
right_turning,9734,9712,9734,22
trotting,9737,9734,9737,3
stepping,9802,9737,9802,65
rising,9824,9802,9824,22
sniffing,9901,9824,9901,77
rising,9942,9901,9942,41
grooming,10058,9942,10058,116
trotting,10064,10058,10064,6
left_turning,10094,10064,10094,30
walking,10114,10094,10114,20
rearing,10124,10114,10124,10
sniffing,10172,10124,10172,48
climbing,10223,10172,10223,51
stepping,10274,10223,10274,51
right_turning,10325,10274,10325,51
trotting,10373,10325,10373,48
sniffing,10403,10373,10403,30
grooming,11181,10403,11181,778
climbing,11218,11181,11218,37
rising,11234,11218,11234,16
climbing,11266,11234,11266,32
grooming,11293,11266,11293,27
rearing,11383,11293,11383,90
grooming,11532,11383,11532,149
walking,11541,11532,11541,9
stepping,11552,11541,11552,11
right_turning,11562,11552,11562,10
walking,11596,11562,11596,34
sniffing,11676,11596,11676,80
walking,11730,11676,11730,54
trotting,11749,11730,11749,19
rearing,11782,11749,11782,33
grooming,12855,11782,12855,1073
rearing,12856,12855,12856,1
climbing,12946,12856,12946,90
left_turning,13046,12946,13046,100
sniffing,13166,13046,13166,120
grooming,13344,13166,13344,178
running,13352,13344,13352,8
walking,13388,13352,13388,36
sniffing,13412,13388,13412,24
grooming,13413,13412,13413,1
rearing,13632,13413,13632,219
rising,13734,13632,13734,102
sniffing,13737,13734,13737,3
grooming,13845,13737,13845,108
sniffing,13879,13845,13879,34
hunching,14051,13879,14051,172
sniffing,14112,14051,14112,61
running,14124,14112,14124,12
walking,14178,14124,14178,54
rising,14208,14178,14208,30
walking,14253,14208,14253,45
right_turning,14263,14253,14263,10
trotting,14297,14263,14297,34
stepping,14318,14297,14318,21
sniffing,14445,14318,14445,127
walking,14478,14445,14478,33
running,14492,14478,14492,14
left_turning,14543,14492,14543,51
sniffing,14571,14543,14571,28
rising,14627,14571,14627,56
grooming,14718,14627,14718,91
rearing,14734,14718,14734,16
hunching,14892,14734,14892,158
grooming,15099,14892,15099,207
rising,15120,15099,15120,21
sniffing,15151,15120,15151,31
running,15186,15151,15186,35
rearing,15249,15186,15249,63
grooming,15321,15249,15321,72
stepping,15348,15321,15348,27
climbing,15387,15348,15387,39
grooming,15572,15387,15572,185
running,15583,15572,15583,11
sniffing,15655,15583,15655,72
stepping,15672,15655,15672,17
