movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,0.892468437091859,7.0,11.857142857142858,1256.3333333333333,male,Morning_Light-on,1
trotting,3.1889420983892034,14.0,19.898764285714282,1242.047346153846,male,Morning_Light-on,1
left_turning,9.828036569438398,33.0,25.955548484848485,516.42119375,male,Morning_Light-on,1
right_turning,4.059643012625163,17.0,21.17925294117647,1062.71099375,male,Morning_Light-on,1
walking,15.955594253373967,50.0,28.436578000000004,331.6251326530612,male,Morning_Light-on,1
stepping,3.504571179799739,13.0,25.457546153846156,1293.0375583333332,male,Morning_Light-on,1
sniffing,37.09185894645189,79.0,40.20261898734177,174.65466794871796,male,Morning_Light-on,1
rising,7.760121898127993,29.0,26.423479310344828,578.242625,male,Morning_Light-on,1
hunching,3.2651284283848496,13.0,23.132861538461537,907.2485416666666,male,Morning_Light-on,1
rearing,3.167174575533304,9.0,36.111111111111114,1640.625,male,Morning_Light-on,1
climbing,10.339573356552025,26.0,34.46826153846154,501.43204000000003,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,0.9468872442316064,2.0,43.5,2508.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,0.27926460321154295,2.0,13.5,38.0,female,Night_Light-on,3
trotting,3.6071677914824294,10.0,28.937079999999998,1689.4138666666668,female,Night_Light-on,3
left_turning,10.297882243425645,31.0,34.13572258064516,510.633,female,Night_Light-on,3
right_turning,5.387479636956016,16.0,29.158,714.0426799999999,female,Night_Light-on,3
walking,17.84966255527112,50.0,29.19323,315.5274673469388,female,Night_Light-on,3
stepping,5.771468466371887,13.0,36.5868,1218.50685,female,Night_Light-on,3
sniffing,36.40912264370491,76.0,42.57293815789474,194.93182533333334,female,Night_Light-on,3
rising,6.260181521992088,22.0,23.73316818181818,754.3896428571429,female,Night_Light-on,3
hunching,0.5934372818245288,3.0,11.666666666666666,8173.0,female,Night_Light-on,3
rearing,2.0013963230160576,4.0,43.0,3782.3333333333335,female,Night_Light-on,3
climbing,11.542936932743775,24.0,42.21342083333333,684.387204347826,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,0.0,0.0,0.0,0.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
running,0.977366255144033,4.0,16.0,3020.6666666666665,male,Night_Light-on,3
trotting,4.089506172839506,11.0,27.49838181818182,1407.7245599999999,male,Night_Light-on,3
left_turning,9.194958847736626,29.0,26.983962068965514,550.2581607142857,male,Night_Light-on,3
right_turning,4.693930041152263,16.0,22.0601125,1169.8711733333334,male,Night_Light-on,3
walking,19.93312757201646,51.0,31.056503921568627,309.65698399999997,male,Night_Light-on,3
stepping,3.4979423868312756,11.0,28.039909090909095,1233.41205,male,Night_Light-on,3
sniffing,22.942386831275723,47.0,37.57714893617021,342.53576086956525,male,Night_Light-on,3
rising,12.988683127572017,41.0,25.467043902439023,401.2571775,male,Night_Light-on,3
hunching,2.8034979423868314,10.0,20.71646,1533.7008333333333,male,Night_Light-on,3
rearing,5.941358024691358,15.0,27.993159999999996,996.9934142857142,male,Night_Light-on,3
climbing,10.133744855967079,19.0,37.856610526315784,693.48935,male,Night_Light-on,3
