,15,45,60
locomotion,0.3521320987654321,0.2744240740740741,0.19962095957725268
exploration,0.6081333333333333,0.6382234567901234,0.6117811195891052
maintenance,0.026727160493827163,0.07224197530864197,0.1414462799713559
nap,0.013007407407407409,0.015110493827160492,0.0471516408622861
