location,movement,r,p
center,running,-0.264086386913386,1.507305199813913e-07
center,trotting,-0.17519917178021502,0.0005632773425918841
center,left_turning,0.17755354793745903,0.0004726480028513182
center,right_turning,0.16970543678241054,0.0008409782052372666
center,stepping,0.18341023335888226,0.00030259248884035423
center,sniffing,0.2294405575233398,5.567627758598933e-06
center,rearing,0.22904098099658196,5.786349415435309e-06
center,grooming,0.13528037384857816,0.007942278396081824
center,scratching,0.126585413896257,0.013047715602662182
perimeter,running,-0.13938079880590507,0.006223709864660588
perimeter,trotting,-0.15981194984369576,0.0016798858067195125
perimeter,left_turning,0.14442230790872115,0.004571930585355504
perimeter,walking,-0.19262264731440637,0.00014590484158583903
perimeter,sniffing,0.15127836950327855,0.002959670463417927
perimeter,rising,-0.13558895098042154,0.007799570108387701
perimeter,rearing,0.18993443603543636,0.00018115602609639336
perimeter,climbing,0.1899982188785963,0.0001802343818761814
perimeter,scratching,0.1284151827423038,0.011780713000140847
perimeter,pausing,0.12454322139034651,0.014602202900341052
corner,trotting,-0.10468931067317305,0.04032224299340291
corner,right_turning,-0.1289910576539364,0.011405095205516618
corner,stepping,-0.20915604062227017,3.6115355243493146e-05
corner,rising,-0.3069075130406444,8.076649985574321e-10
corner,hunching,-0.2558032471839606,3.7517241669362297e-07
corner,rearing,-0.19216370125528798,0.00015142774338226036
corner,climbing,0.15795751785981998,0.001904431904666881
corner,jumping,0.12770188725112072,0.012261087047065801
corner,grooming,-0.13276017292348993,0.009197755796589002
