movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
left_turning,15.723039857539412,78.0,39.733784615384614,999.2889012987014,male,Morning_Light-on,1
right_turning,2.451160111035458,18.0,26.48356111111111,3691.37944117647,male,Morning_Light-on,1
walking,27.02561148064736,145.0,44.65575655172414,570.547207638889,male,Morning_Light-on,1
stepping,6.6307023516472015,29.0,42.181337931034484,2511.7515178571425,male,Morning_Light-on,1
sniffing,33.7139265699471,93.0,67.79141075268818,907.1841945652174,male,Morning_Light-on,1
rising,2.9644372283035665,12.0,46.94018333333334,7822.437763636362,male,Morning_Light-on,1
hunching,0.5080395956633321,3.0,26.333333333333332,15694.0,male,Morning_Light-on,1
rearing,1.2203425339129523,5.0,40.0,11076.75,male,Morning_Light-on,1
climbing,0.026187608023883095,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,4.823757397999267,9.0,105.88888888888889,9130.25,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.14141308332896874,0.0,0.0,0.0,male,Morning_Light-on,1
running,0.5731698469128637,2.0,30.0,22438.0,male,Morning_Light-on,1
trotting,3.85257200899659,15.0,34.88329999999999,4307.091378571427,male,Morning_Light-on,1
left_turning,8.546760502067764,39.0,35.29504615384616,2033.1630289473683,male,Morning_Light-on,1
right_turning,1.8428498875426251,5.0,40.4,7251.75,male,Morning_Light-on,1
walking,23.84821882028586,85.0,42.921894117647064,913.5732583333333,male,Morning_Light-on,1
stepping,7.088442283973011,30.0,37.929143333333336,2393.2243862068967,male,Morning_Light-on,1
sniffing,30.980192991366174,67.0,61.124294029850745,1153.2950257575758,male,Morning_Light-on,1
rising,9.591525792643111,34.0,38.30135882352941,2402.4225696969697,male,Morning_Light-on,1
hunching,0.9577015163607342,4.0,32.25,16520.333333333332,male,Morning_Light-on,1
rearing,8.191250090691431,22.0,49.747418181818176,3329.510238095238,male,Morning_Light-on,1
climbing,0.0580425161430748,0.0,0.0,0.0,male,Morning_Light-on,1
