revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,78,0,78,78
walking,134,78,134,56
sniffing,195,134,195,61
walking,265,195,265,70
sniffing,293,265,293,28
right_turning,294,293,294,1
sniffing,317,294,317,23
walking,357,317,357,40
stepping,382,357,382,25
walking,438,382,438,56
trotting,464,438,464,26
stepping,489,464,489,25
sniffing,528,489,528,39
walking,643,528,643,115
left_turning,701,643,701,58
stepping,761,701,761,60
walking,796,761,796,35
rising,797,796,797,1
rearing,887,797,887,90
sniffing,948,887,948,61
walking,976,948,976,28
sniffing,1063,976,1063,87
rearing,1114,1063,1114,51
rising,1115,1114,1115,1
left_turning,1141,1115,1141,26
sniffing,1142,1141,1142,1
climbing,1179,1142,1179,37
walking,1222,1179,1222,43
left_turning,1223,1222,1223,1
walking,1254,1223,1254,31
running,1289,1254,1289,35
sniffing,1290,1289,1290,1
rising,1291,1290,1291,1
stepping,1363,1291,1363,72
rearing,1364,1363,1364,1
climbing,1394,1364,1394,30
walking,1421,1394,1421,27
sniffing,1495,1421,1495,74
rising,1520,1495,1520,25
sniffing,1638,1520,1638,118
rearing,1650,1638,1650,12
sniffing,1669,1650,1669,19
climbing,1715,1669,1715,46
stepping,1716,1715,1716,1
walking,1717,1716,1717,1
sniffing,1754,1717,1754,37
walking,1803,1754,1803,49
sniffing,1804,1803,1804,1
climbing,1886,1804,1886,82
walking,1903,1886,1903,17
sniffing,2253,1903,2253,350
climbing,2294,2253,2294,41
right_turning,2321,2294,2321,27
walking,2322,2321,2322,1
trotting,2406,2322,2406,84
sniffing,2526,2406,2526,120
stepping,2579,2526,2579,53
sniffing,2580,2579,2580,1
grooming,2595,2580,2595,15
left_turning,2610,2595,2610,15
sniffing,2725,2610,2725,115
climbing,2759,2725,2759,34
right_turning,2760,2759,2760,1
stepping,2803,2760,2803,43
right_turning,2832,2803,2832,29
trotting,2859,2832,2859,27
climbing,2877,2859,2877,18
left_turning,2926,2877,2926,49
stepping,2989,2926,2989,63
sniffing,3040,2989,3040,51
climbing,3060,3040,3060,20
rising,3106,3060,3106,46
left_turning,3110,3106,3110,4
walking,3134,3110,3134,24
trotting,3144,3134,3144,10
sniffing,3252,3144,3252,108
grooming,3394,3252,3394,142
sniffing,3395,3394,3395,1
climbing,3427,3395,3427,32
rearing,3448,3427,3448,21
left_turning,3454,3448,3454,6
rising,3456,3454,3456,2
right_turning,3510,3456,3510,54
walking,3566,3510,3566,56
rising,3577,3566,3577,11
walking,3680,3577,3680,103
