,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,GS_fra_index,GS_fre_index,color
0,Morning_Light-on,1,male,31.911002743066135,1.4020115818348065,22.0,1.0,22.760869565217387,22.0,0.043935052531041074,0.045454545454545456,#F5B25E
1,Night_Light-on,3,female,23.128311448974888,2.073255010366275,23.0,1.0,11.155555555555555,23.0,0.08964143426294821,0.043478260869565216,#398FCB
2,Night_Light-on,3,male,18.740074113287452,0.001,11.0,0.1,18740.07411328745,110.0,5.336158192090396e-05,0.009090909090909092,#398FCB
3,Night_Light-on,3,female,14.077669902912621,6.102635228848821,12.0,2.0,2.3068181818181817,6.0,0.4334975369458128,0.16666666666666666,#398FCB
4,Morning_Light-on,1,male,29.53549517966696,2.497808939526731,10.0,1.0,11.824561403508772,10.0,0.08456973293768547,0.1,#F5B25E
5,Morning_Light-on,1,male,24.552505966587113,1.6706443914081146,16.0,1.0,14.696428571428571,16.0,0.06804374240583232,0.0625,#F5B25E
6,Morning_Light-on,1,male,22.18967411204687,0.001,9.0,0.1,22189.67411204687,90.0,4.506600660066007e-05,0.011111111111111112,#F5B25E
7,Night_Light-on,3,female,13.763384695743014,1.2797074954296161,11.0,1.0,10.755102040816325,11.0,0.09297912713472486,0.09090909090909091,#398FCB
8,Night_Light-on,3,male,23.705530116238112,0.3874603733709053,11.0,0.1,61.18181818181818,110.0,0.01634472511144131,0.009090909090909092,#398FCB
9,Night_Light-on,3,female,17.042172154823803,0.001,4.0,0.1,17042.172154823802,40.0,5.8677966101694915e-05,0.025,#398FCB
10,Morning_Light-on,1,female,22.1119773210489,2.445074415308292,9.0,1.0,9.043478260869565,9.0,0.11057692307692309,0.1111111111111111,#F5B25E
11,Morning_Light-on,1,male,20.51792828685259,0.001,6.0,0.1,20517.92828685259,60.0,4.87378640776699e-05,0.016666666666666666,#F5B25E
12,Morning_Light-on,1,female,9.813542688910697,0.001,3.0,0.1,9813.542688910697,30.0,0.0001019,0.03333333333333333,#F5B25E
13,Night_Light-on,3,male,18.064302287040107,0.001,12.0,0.1,18064.302287040107,120.0,5.535779816513761e-05,0.008333333333333333,#398FCB
14,Night_Light-on,3,male,24.685020998600095,2.5664955669622023,16.0,2.0,9.618181818181819,8.0,0.10396975425330811,0.125,#398FCB
15,Night_Light-on,3,female,20.041580041580044,0.001,8.0,0.1,20041.580041580044,80.0,4.989626556016597e-05,0.0125,#398FCB
16,Morning_Light-on,1,female,17.434210526315788,0.001,8.0,0.1,17434.210526315786,80.0,5.7358490566037745e-05,0.0125,#F5B25E
17,Morning_Light-on,1,female,17.18434852763211,2.319483662767245,21.0,2.0,7.408695652173913,10.5,0.13497652582159625,0.09523809523809523,#F5B25E
18,Morning_Light-on,1,female,9.807767752059632,0.001,6.0,0.1,9807.767752059632,60.0,0.00010195999999999999,0.016666666666666666,#F5B25E
19,Night_Light-on,3,male,29.380122950819672,0.001,25.0,0.1,29380.12295081967,250.0,3.4036617262423714e-05,0.004,#398FCB
20,Night_Light-on,3,female,34.00969109630527,0.001,16.0,0.1,34009.691096305265,160.0,2.940338379341051e-05,0.00625,#398FCB
21,Night_Light-on,3,male,35.19140362659503,0.6380120886501007,22.0,1.0,55.15789473684211,22.0,0.01812977099236641,0.045454545454545456,#398FCB
22,Morning_Light-on,1,female,6.0980998674326115,0.001,4.0,0.1,6098.099867432611,40.0,0.00016398550724637683,0.025,#F5B25E
23,Morning_Light-on,1,male,3.2548677709968032,19.412961348445222,3.0,4.0,0.16766467065868262,0.75,5.964285714285715,1.3333333333333333,#F5B25E
24,Morning_Light-on,1,female,15.034168564920272,0.001,9.0,0.1,15034.168564920272,90.0,6.651515151515152e-05,0.011111111111111112,#F5B25E
25,Night_Light-on,3,male,30.357718337093136,1.9013857557202707,15.0,1.0,15.966101694915254,15.0,0.06263269639065817,0.06666666666666667,#398FCB
26,Morning_Light-on,1,male,11.828793774319065,0.001,10.0,0.1,11828.793774319065,100.0,8.453947368421053e-05,0.01,#F5B25E
27,Morning_Light-on,1,female,19.06927921623513,0.001,12.0,0.1,19069.27921623513,120.0,5.2440366972477064e-05,0.008333333333333333,#F5B25E
28,Morning_Light-on,1,female,13.468869123252858,0.001,3.0,0.1,13468.869123252858,30.0,7.424528301886794e-05,0.03333333333333333,#F5B25E
29,Night_Light-on,3,male,22.597402597402596,0.001,4.0,0.1,22597.402597402594,40.0,4.4252873563218394e-05,0.025,#398FCB
30,Night_Light-on,3,male,33.09993634627626,0.001,7.0,0.1,33099.936346276256,70.0,3.0211538461538462e-05,0.014285714285714287,#398FCB
31,Night_Light-on,3,male,13.160422670509126,5.667627281460135,5.0,2.0,2.3220338983050848,2.5,0.43065693430656937,0.4,#398FCB
32,Morning_Light-on,1,male,19.17232460394439,1.6488845780795343,11.0,1.0,11.627450980392158,11.0,0.08600337268128161,0.09090909090909091,#F5B25E
33,Morning_Light-on,1,male,8.428927680798006,0.001,4.0,0.1,8428.927680798006,40.0,0.00011863905325443786,0.025,#F5B25E
34,Morning_Light-on,1,female,30.882956878850106,0.001,10.0,0.1,30882.956878850106,100.0,3.2380319148936166e-05,0.01,#F5B25E
35,Night_Light-on,3,female,12.433706540954626,0.001,3.0,0.1,12433.706540954625,30.0,8.042654028436018e-05,0.03333333333333333,#398FCB
36,Night_Light-on,3,female,18.913110224132637,0.001,14.0,0.1,18913.110224132637,140.0,5.2873376623376624e-05,0.0071428571428571435,#398FCB
37,Night_Light-on,3,male,23.484848484848484,0.001,15.0,0.1,23484.848484848484,150.0,4.2580645161290327e-05,0.006666666666666667,#398FCB
