revised_movement_label,group,body_stretch_rate
running,Morning_Light-on,96.66035030203797
running,Morning_Light-on,97.08689080595266
running,Stress_Light-on,93.42820495119338
running,Morning_Light-on,106.04683819581327
running,Stress_Light-on,100.78837223955803
running,Morning_Light-on,100.44100212611025
running,Stress_Light-on,104.71970095320596
running,Morning_Light-on,99.72833319250736
running,Morning_Light-on,113.90019768361253
running,Morning_Light-on,97.98585610596456
running,Morning_Light-on,104.90653082807874
running,Stress_Light-on,96.79333029918375
running,Stress_Light-on,95.1965936678409
running,Stress_Light-on,95.21976428290543
running,Morning_Light-on,110.14059119640586
running,Morning_Light-on,104.57059622955289
running,Morning_Light-on,111.54058109978405
running,Stress_Light-on,96.32975173517254
running,Morning_Light-on,96.1036439618232
running,Stress_Light-on,96.65298185871019
running,Morning_Light-on,109.71469511960679
running,Morning_Light-on,106.84854414580671
running,Morning_Light-on,104.34437431964932
running,Stress_Light-on,93.60144388719323
running,Stress_Light-on,96.95218860115766
running,Morning_Light-on,97.97772063115774
running,Morning_Light-on,107.43265807987787
running,Morning_Light-on,102.20679177394865
running,Morning_Light-on,104.36146867328758
running,Morning_Light-on,101.19959352761742
running,Stress_Light-on,102.17495264058083
running,Morning_Light-on,96.33976646909645
running,Morning_Light-on,97.47266471312618
running,Stress_Light-on,94.74237001724475
running,Stress_Light-on,102.24026334627658
running,Morning_Light-on,96.82810067602587
running,Morning_Light-on,101.29132620787895
running,Morning_Light-on,103.35620390073237
running,Morning_Light-on,102.56996031665912
running,Morning_Light-on,103.48935171954146
running,Morning_Light-on,104.09099703847617
running,Stress_Light-on,94.89499591252518
running,Stress_Light-on,97.42563625718049
running,Morning_Light-on,101.56538494934499
running,Morning_Light-on,108.26636947637449
running,Stress_Light-on,93.0991207551741
running,Stress_Light-on,88.94535982462102
running,Morning_Light-on,93.1555139974743
running,Morning_Light-on,104.16112399507355
running,Stress_Light-on,87.6780006517546
running,Morning_Light-on,96.25113100294878
running,Stress_Light-on,92.46458967760805
running,Stress_Light-on,95.7831849060945
running,Stress_Light-on,90.50399880541062
running,Stress_Light-on,98.63775092522262
running,Morning_Light-on,107.10388007831853
running,Morning_Light-on,104.61351386988589
running,Morning_Light-on,100.38071448746442
running,Stress_Light-on,99.54910770551847
running,Morning_Light-on,110.36012012123508
running,Morning_Light-on,100.18778161101436
running,Morning_Light-on,108.2706798063381
running,Stress_Light-on,100.7226858167334
running,Morning_Light-on,106.08415705784348
running,Stress_Light-on,93.7070580188833
running,Morning_Light-on,103.33947557462437
running,Morning_Light-on,97.34093505718918
running,Stress_Light-on,87.56744423725841
running,Morning_Light-on,100.93266662576808
running,Stress_Light-on,93.61632401586294
running,Stress_Light-on,96.18640343129745
running,Stress_Light-on,88.24944299471092
running,Morning_Light-on,103.77726504339489
running,Morning_Light-on,100.10110991464221
running,Morning_Light-on,105.85630953564721
running,Stress_Light-on,94.01107504365109
running,Stress_Light-on,97.81252098829233
