revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,1,0,1,1
stepping,8,1,8,7
walking,82,8,82,74
sniffing,139,82,139,57
running,171,139,171,32
sniffing,249,171,249,78
left_turning,263,249,263,14
running,298,263,298,35
trotting,368,298,368,70
walking,561,368,561,193
grooming,616,561,616,55
walking,660,616,660,44
rising,685,660,685,25
sniffing,686,685,686,1
grooming,898,686,898,212
walking,996,898,996,98
grooming,1042,996,1042,46
rearing,1068,1042,1068,26
walking,1101,1068,1101,33
sniffing,1139,1101,1139,38
rising,1173,1139,1173,34
grooming,1302,1173,1302,129
sniffing,1303,1302,1303,1
rising,1304,1303,1304,1
left_turning,1357,1304,1357,53
grooming,1368,1357,1368,11
rearing,1369,1368,1369,1
grooming,1641,1369,1641,272
running,1671,1641,1671,30
walking,1698,1671,1698,27
sniffing,1738,1698,1738,40
stepping,1859,1738,1859,121
walking,1898,1859,1898,39
sniffing,1899,1898,1899,1
rising,1949,1899,1949,50
sniffing,2185,1949,2185,236
walking,2215,2185,2215,30
sniffing,2274,2215,2274,59
stepping,2330,2274,2330,56
walking,2413,2330,2413,83
sniffing,2414,2413,2414,1
grooming,2415,2414,2415,1
climbing,2434,2415,2434,19
right_turning,2452,2434,2452,18
sniffing,2459,2452,2459,7
walking,2517,2459,2517,58
rising,2540,2517,2540,23
sniffing,2541,2540,2541,1
stepping,2571,2541,2571,30
trotting,2610,2571,2610,39
running,2639,2610,2639,29
walking,2678,2639,2678,39
running,2705,2678,2705,27
trotting,2706,2705,2706,1
walking,2748,2706,2748,42
sniffing,2826,2748,2826,78
stepping,2849,2826,2849,23
trotting,2878,2849,2878,29
grooming,3061,2878,3061,183
left_turning,3085,3061,3085,24
sniffing,3106,3085,3106,21
rising,3143,3106,3143,37
hunching,3157,3143,3157,14
grooming,3158,3157,3158,1
climbing,3178,3158,3178,20
grooming,3282,3178,3282,104
left_turning,3297,3282,3297,15
stepping,3315,3297,3315,18
walking,3342,3315,3342,27
trotting,3348,3342,3348,6
sniffing,3454,3348,3454,106
walking,3488,3454,3488,34
rising,3491,3488,3491,3
walking,3501,3491,3501,10
sniffing,3587,3501,3587,86
walking,3588,3587,3588,1
rising,3589,3588,3589,1
grooming,3694,3589,3694,105
left_turning,3715,3694,3715,21
stepping,3731,3715,3731,16
sniffing,3732,3731,3732,1
trotting,3744,3732,3744,12
sniffing,3853,3744,3853,109
climbing,3864,3853,3864,11
walking,3892,3864,3892,28
sniffing,3927,3892,3927,35
stepping,3938,3927,3938,11
sniffing,3939,3938,3939,1
rising,3979,3939,3979,40
walking,3980,3979,3980,1
grooming,4091,3980,4091,111
running,4107,4091,4107,16
walking,4124,4107,4124,17
sniffing,4181,4124,4181,57
rising,4217,4181,4217,36
sniffing,4261,4217,4261,44
walking,4289,4261,4289,28
sniffing,4405,4289,4405,116
rising,4449,4405,4449,44
right_turning,4473,4449,4473,24
stepping,4533,4473,4533,60
right_turning,4582,4533,4582,49
walking,4654,4582,4654,72
rising,4655,4654,4655,1
sniffing,4728,4655,4728,73
walking,4787,4728,4787,59
sniffing,4802,4787,4802,15
stepping,4803,4802,4803,1
sniffing,4853,4803,4853,50
stepping,4854,4853,4854,1
sniffing,4855,4854,4855,1
stepping,4861,4855,4861,6
climbing,4907,4861,4907,46
rearing,5013,4907,5013,106
climbing,5057,5013,5057,44
rising,5086,5057,5086,29
climbing,5151,5086,5151,65
rearing,5208,5151,5208,57
grooming,5379,5208,5379,171
trotting,5416,5379,5416,37
sniffing,5447,5416,5447,31
hunching,5473,5447,5473,26
stepping,5474,5473,5474,1
walking,5507,5474,5507,33
rearing,5508,5507,5508,1
walking,5533,5508,5533,25
stepping,5585,5533,5585,52
sniffing,5616,5585,5616,31
rising,5648,5616,5648,32
sniffing,5738,5648,5738,90
grooming,5900,5738,5900,162
rising,5901,5900,5901,1
sniffing,6007,5901,6007,106
hunching,6046,6007,6046,39
rising,6117,6046,6117,71
sniffing,6178,6117,6178,61
stepping,6258,6178,6258,80
walking,6288,6258,6288,30
stepping,6319,6288,6319,31
rising,6330,6319,6330,11
stepping,6358,6330,6358,28
sniffing,6415,6358,6415,57
rising,6484,6415,6484,69
sniffing,6586,6484,6586,102
stepping,6610,6586,6610,24
sniffing,6653,6610,6653,43
trotting,6706,6653,6706,53
walking,6707,6706,6707,1
sniffing,6757,6707,6757,50
stepping,6785,6757,6785,28
rising,6858,6785,6858,73
left_turning,6953,6858,6953,95
trotting,6954,6953,6954,1
rising,6972,6954,6972,18
stepping,7042,6972,7042,70
walking,7102,7042,7102,60
stepping,7188,7102,7188,86
walking,7269,7188,7269,81
stepping,7299,7269,7299,30
sniffing,7300,7299,7300,1
stepping,7359,7300,7359,59
walking,7389,7359,7389,30
sniffing,7390,7389,7390,1
rising,7462,7390,7462,72
sniffing,7525,7462,7525,63
walking,7594,7525,7594,69
sniffing,7673,7594,7673,79
rearing,7674,7673,7674,1
right_turning,7703,7674,7703,29
sniffing,7708,7703,7708,5
stepping,7709,7708,7709,1
walking,7752,7709,7752,43
sniffing,7819,7752,7819,67
stepping,7891,7819,7891,72
rising,7928,7891,7928,37
walking,7977,7928,7977,49
running,8029,7977,8029,52
trotting,8069,8029,8069,40
rising,8083,8069,8083,14
running,8101,8083,8101,18
stepping,8142,8101,8142,41
rising,8196,8142,8196,54
grooming,8197,8196,8197,1
rising,8228,8197,8228,31
rearing,8229,8228,8229,1
sniffing,8341,8229,8341,112
grooming,8411,8341,8411,70
left_turning,8443,8411,8443,32
grooming,8458,8443,8458,15
hunching,8498,8458,8498,40
sniffing,8499,8498,8499,1
grooming,8569,8499,8569,70
sniffing,8654,8569,8654,85
rising,8657,8654,8657,3
rearing,8663,8657,8663,6
grooming,8947,8663,8947,284
rising,8955,8947,8955,8
climbing,8976,8955,8976,21
sniffing,9164,8976,9164,188
grooming,9311,9164,9311,147
hunching,9368,9311,9368,57
left_turning,9369,9368,9369,1
running,9380,9369,9380,11
stepping,9418,9380,9418,38
sniffing,9461,9418,9461,43
hunching,9505,9461,9505,44
rising,9531,9505,9531,26
sniffing,9532,9531,9532,1
walking,9622,9532,9622,90
trotting,9656,9622,9656,34
running,9686,9656,9686,30
walking,9687,9686,9687,1
sniffing,9742,9687,9742,55
walking,9745,9742,9745,3
sniffing,9824,9745,9824,79
stepping,9883,9824,9883,59
sniffing,9884,9883,9884,1
grooming,10069,9884,10069,185
stepping,10181,10069,10181,112
rearing,10231,10181,10231,50
grooming,10408,10231,10408,177
rising,10428,10408,10428,20
left_turning,10501,10428,10501,73
walking,10502,10501,10502,1
stepping,10536,10502,10536,34
rising,10565,10536,10565,29
sniffing,10646,10565,10646,81
grooming,10725,10646,10725,79
rising,10726,10725,10726,1
grooming,10831,10726,10831,105
hunching,10866,10831,10866,35
grooming,10867,10866,10867,1
rearing,10910,10867,10910,43
left_turning,10914,10910,10914,4
rising,10999,10914,10999,85
hunching,11024,10999,11024,25
rearing,11152,11024,11152,128
walking,11258,11152,11258,106
rising,11288,11258,11288,30
grooming,11295,11288,11295,7
sniffing,11434,11295,11434,139
stepping,11501,11434,11501,67
sniffing,11597,11501,11597,96
grooming,11731,11597,11731,134
rearing,11761,11731,11761,30
grooming,11963,11761,11963,202
rearing,12052,11963,12052,89
sniffing,12094,12052,12094,42
left_turning,12114,12094,12114,20
trotting,12115,12114,12115,1
sniffing,12177,12115,12177,62
running,12197,12177,12197,20
sniffing,12268,12197,12268,71
left_turning,12283,12268,12283,15
climbing,12302,12283,12302,19
rising,12328,12302,12328,26
grooming,12378,12328,12378,50
trotting,12380,12378,12380,2
stepping,12393,12380,12393,13
sniffing,12397,12393,12397,4
grooming,12467,12397,12467,70
sniffing,12468,12467,12468,1
grooming,12546,12468,12546,78
rising,12669,12546,12669,123
rearing,12819,12669,12819,150
rising,12820,12819,12820,1
rearing,12821,12820,12821,1
grooming,12870,12821,12870,49
rearing,12919,12870,12919,49
grooming,12920,12919,12920,1
hunching,12990,12920,12990,70
grooming,13059,12990,13059,69
rising,13110,13059,13110,51
climbing,13157,13110,13157,47
grooming,13172,13157,13172,15
rearing,13173,13172,13173,1
climbing,13180,13173,13180,7
grooming,13344,13180,13344,164
hunching,13345,13344,13345,1
grooming,13398,13345,13398,53
rearing,13438,13398,13438,40
climbing,13511,13438,13511,73
rearing,13623,13511,13623,112
left_turning,13626,13623,13626,3
stepping,13690,13626,13690,64
sniffing,13692,13690,13692,2
hunching,13733,13692,13733,41
rearing,13787,13733,13787,54
grooming,13830,13787,13830,43
walking,13858,13830,13858,28
trotting,13902,13858,13902,44
rising,13903,13902,13903,1
rearing,13965,13903,13965,62
climbing,14013,13965,14013,48
grooming,14042,14013,14042,29
running,14064,14042,14064,22
walking,14142,14064,14142,78
stepping,14206,14142,14206,64
grooming,14223,14206,14223,17
rearing,14273,14223,14273,50
hunching,14292,14273,14292,19
grooming,14386,14292,14386,94
rearing,14457,14386,14457,71
rising,14518,14457,14518,61
rearing,14519,14518,14519,1
grooming,14719,14519,14719,200
sniffing,14882,14719,14882,163
rearing,14957,14882,14957,75
left_turning,14987,14957,14987,30
trotting,15035,14987,15035,48
sniffing,15036,15035,15036,1
left_turning,15083,15036,15083,47
walking,15088,15083,15088,5
rising,15133,15088,15133,45
rearing,15134,15133,15134,1
sniffing,15135,15134,15135,1
walking,15267,15135,15267,132
sniffing,15302,15267,15302,35
rearing,15508,15302,15508,206
hunching,15519,15508,15519,11
grooming,15778,15519,15778,259
hunching,15781,15778,15781,3
rearing,15785,15781,15785,4
grooming,15786,15785,15786,1
hunching,15828,15786,15828,42
rearing,15829,15828,15829,1
grooming,16052,15829,16052,223
rising,16055,16052,16055,3
grooming,16127,16055,16127,72
rearing,16198,16127,16198,71
grooming,16281,16198,16281,83
stepping,16313,16281,16313,32
grooming,16324,16313,16324,11
walking,16385,16324,16385,61
stepping,16420,16385,16420,35
grooming,16550,16420,16550,130
sniffing,16601,16550,16601,51
grooming,16711,16601,16711,110
sniffing,16758,16711,16758,47
stepping,16824,16758,16824,66
grooming,16975,16824,16975,151
walking,16979,16975,16979,4
sniffing,17046,16979,17046,67
grooming,17172,17046,17172,126
sniffing,17316,17172,17316,144
right_turning,17345,17316,17345,29
rising,17398,17345,17398,53
grooming,17529,17398,17529,131
hunching,17530,17529,17530,1
sniffing,17535,17530,17535,5
walking,17557,17535,17557,22
trotting,17568,17557,17568,11
running,17592,17568,17592,24
