revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,15,0,15,15
left_turning,56,15,56,41
stepping,104,56,104,48
sniffing,175,104,175,71
stepping,216,175,216,41
sniffing,248,216,248,32
rising,252,248,252,4
walking,304,252,304,52
grooming,305,304,305,1
walking,325,305,325,20
rising,407,325,407,82
sniffing,476,407,476,69
rising,512,476,512,36
climbing,565,512,565,53
sniffing,683,565,683,118
walking,726,683,726,43
sniffing,818,726,818,92
stepping,852,818,852,34
rising,866,852,866,14
left_turning,893,866,893,27
stepping,978,893,978,85
rising,1013,978,1013,35
sniffing,1105,1013,1105,92
rising,1106,1105,1106,1
walking,1172,1106,1172,66
trotting,1173,1172,1173,1
walking,1213,1173,1213,40
left_turning,1287,1213,1287,74
sniffing,1300,1287,1300,13
rearing,1301,1300,1301,1
stepping,1313,1301,1313,12
walking,1355,1313,1355,42
stepping,1397,1355,1397,42
sniffing,1496,1397,1496,99
stepping,1540,1496,1540,44
walking,1573,1540,1573,33
rising,1582,1573,1582,9
left_turning,1613,1582,1613,31
running,1622,1613,1622,9
trotting,1632,1622,1632,10
walking,1668,1632,1668,36
stepping,1691,1668,1691,23
grooming,1770,1691,1770,79
hunching,1780,1770,1780,10
sniffing,1785,1780,1785,5
rising,1805,1785,1805,20
stepping,1951,1805,1951,146
walking,1952,1951,1952,1
sniffing,2100,1952,2100,148
stepping,2123,2100,2123,23
walking,2124,2123,2124,1
rising,2170,2124,2170,46
hunching,2194,2170,2194,24
rearing,2269,2194,2269,75
climbing,2310,2269,2310,41
rearing,2371,2310,2371,61
rising,2386,2371,2386,15
grooming,2459,2386,2459,73
walking,2500,2459,2500,41
sniffing,2554,2500,2554,54
stepping,2596,2554,2596,42
walking,2652,2596,2652,56
rising,2653,2652,2653,1
stepping,2709,2653,2709,56
sniffing,2770,2709,2770,61
rising,2830,2770,2830,60
rearing,2831,2830,2831,1
grooming,2894,2831,2894,63
sniffing,2924,2894,2924,30
rising,2939,2924,2939,15
sniffing,3024,2939,3024,85
rising,3071,3024,3071,47
left_turning,3099,3071,3099,28
walking,3113,3099,3113,14
trotting,3125,3113,3125,12
walking,3178,3125,3178,53
sniffing,3188,3178,3188,10
rising,3189,3188,3189,1
rearing,3190,3189,3190,1
sniffing,3192,3190,3192,2
walking,3247,3192,3247,55
sniffing,3315,3247,3315,68
stepping,3359,3315,3359,44
walking,3360,3359,3360,1
trotting,3388,3360,3388,28
stepping,3389,3388,3389,1
rising,3417,3389,3417,28
sniffing,3418,3417,3418,1
rising,3457,3418,3457,39
grooming,3484,3457,3484,27
rearing,3485,3484,3485,1
grooming,3615,3485,3615,130
stepping,3618,3615,3618,3
rearing,3673,3618,3673,55
rising,3674,3673,3674,1
right_turning,3687,3674,3687,13
sniffing,3688,3687,3688,1
stepping,3727,3688,3727,39
running,3757,3727,3757,30
left_turning,3820,3757,3820,63
walking,3828,3820,3828,8
stepping,3848,3828,3848,20
sniffing,3988,3848,3988,140
stepping,4065,3988,4065,77
right_turning,4113,4065,4113,48
stepping,4137,4113,4137,24
grooming,4157,4137,4157,20
sniffing,4236,4157,4236,79
grooming,4269,4236,4269,33
scratching,4270,4269,4270,1
right_turning,4273,4270,4273,3
rising,4335,4273,4335,62
rearing,4390,4335,4390,55
grooming,4663,4390,4663,273
rearing,4701,4663,4701,38
left_turning,4785,4701,4785,84
stepping,4806,4785,4806,21
walking,4812,4806,4812,6
rearing,4854,4812,4854,42
rising,4935,4854,4935,81
walking,5017,4935,5017,82
sniffing,5018,5017,5018,1
walking,5019,5018,5019,1
stepping,5135,5019,5135,116
sniffing,5136,5135,5136,1
rearing,5166,5136,5166,30
running,5206,5166,5206,40
walking,5207,5206,5207,1
running,5219,5207,5219,12
walking,5224,5219,5224,5
stepping,5253,5224,5253,29
left_turning,5257,5253,5257,4
walking,5299,5257,5299,42
sniffing,5344,5299,5344,45
rearing,5345,5344,5345,1
hunching,5384,5345,5384,39
rising,5402,5384,5402,18
rearing,5403,5402,5403,1
grooming,5487,5403,5487,84
hunching,5541,5487,5541,54
grooming,5562,5541,5562,21
rising,5637,5562,5637,75
grooming,5934,5637,5934,297
hunching,5953,5934,5953,19
rising,5954,5953,5954,1
stepping,6023,5954,6023,69
sniffing,6037,6023,6037,14
stepping,6041,6037,6041,4
sniffing,6160,6041,6160,119
rising,6185,6160,6185,25
climbing,6208,6185,6208,23
rearing,6314,6208,6314,106
left_turning,6321,6314,6321,7
sniffing,6330,6321,6330,9
climbing,6364,6330,6364,34
walking,6365,6364,6365,1
sniffing,6394,6365,6394,29
stepping,6399,6394,6399,5
walking,6445,6399,6445,46
stepping,6473,6445,6473,28
walking,6530,6473,6530,57
rising,6552,6530,6552,22
grooming,6562,6552,6562,10
sniffing,6612,6562,6612,50
walking,6630,6612,6630,18
trotting,6682,6630,6682,52
running,6691,6682,6691,9
stepping,6724,6691,6724,33
sniffing,6746,6724,6746,22
running,6758,6746,6758,12
walking,6855,6758,6855,97
stepping,6875,6855,6875,20
rising,6900,6875,6900,25
rearing,6989,6900,6989,89
rising,7005,6989,7005,16
rearing,7006,7005,7006,1
sniffing,7007,7006,7007,1
rearing,7026,7007,7026,19
hunching,7069,7026,7069,43
rising,7106,7069,7106,37
sniffing,7107,7106,7107,1
grooming,7226,7107,7226,119
sniffing,7292,7226,7292,66
walking,7295,7292,7295,3
trotting,7324,7295,7324,29
walking,7335,7324,7335,11
running,7368,7335,7368,33
walking,7428,7368,7428,60
sniffing,7492,7428,7492,64
climbing,7534,7492,7534,42
grooming,7564,7534,7564,30
climbing,7585,7564,7585,21
left_turning,7610,7585,7610,25
walking,7644,7610,7644,34
sniffing,7679,7644,7679,35
stepping,7726,7679,7726,47
sniffing,7727,7726,7727,1
stepping,7740,7727,7740,13
rising,7765,7740,7765,25
climbing,7803,7765,7803,38
grooming,7977,7803,7977,174
