revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
left_turning,10261,10241,10261,20
walking,10303,10261,10303,42
stepping,10513,10303,10513,210
grooming,10681,10513,10681,168
stepping,10755,10681,10755,74
grooming,10824,10755,10824,69
left_turning,10832,10824,10832,8
stepping,10863,10832,10863,31
walking,10864,10863,10864,1
sniffing,10951,10864,10951,87
hunching,10998,10951,10998,47
rising,11015,10998,11015,17
grooming,11386,11015,11386,371
rearing,11485,11386,11485,99
left_turning,11516,11485,11516,31
sniffing,11583,11516,11583,67
walking,11602,11583,11602,19
sniffing,11680,11602,11680,78
trotting,11681,11680,11681,1
stepping,11740,11681,11740,59
sniffing,11856,11740,11856,116
trotting,11885,11856,11885,29
sniffing,12347,11885,12347,462
stepping,12390,12347,12390,43
walking,12451,12390,12451,61
stepping,12499,12451,12499,48
walking,12548,12499,12548,49
rising,12581,12548,12581,33
climbing,12667,12581,12667,86
grooming,12721,12667,12721,54
left_turning,12779,12721,12779,58
running,12826,12779,12826,47
rising,12949,12826,12949,123
rearing,12962,12949,12962,13
climbing,13028,12962,13028,66
rearing,13123,13028,13123,95
sniffing,13126,13123,13126,3
walking,13180,13126,13180,54
grooming,13338,13180,13338,158
walking,13394,13338,13394,56
trotting,13395,13394,13395,1
sniffing,13445,13395,13445,50
trotting,13512,13445,13512,67
walking,13518,13512,13518,6
trotting,13543,13518,13543,25
sniffing,13545,13543,13545,2
right_turning,13585,13545,13585,40
sniffing,13586,13585,13586,1
grooming,13781,13586,13781,195
trotting,13812,13781,13812,31
rearing,13881,13812,13881,69
climbing,13971,13881,13971,90
walking,14034,13971,14034,63
trotting,14055,14034,14055,21
walking,14125,14055,14125,70
sniffing,14159,14125,14159,34
rising,14203,14159,14203,44
walking,14217,14203,14217,14
climbing,14239,14217,14239,22
grooming,14300,14239,14300,61
climbing,14365,14300,14365,65
stepping,14418,14365,14418,53
grooming,14447,14418,14447,29
stepping,14497,14447,14497,50
sniffing,14696,14497,14696,199
running,14747,14696,14747,51
walking,14748,14747,14748,1
rearing,14765,14748,14765,17
grooming,14766,14765,14766,1
sniffing,14826,14766,14826,60
grooming,14901,14826,14901,75
rearing,15013,14901,15013,112
grooming,15166,15013,15166,153
rearing,15192,15166,15192,26
walking,15236,15192,15236,44
trotting,15275,15236,15275,39
walking,15303,15275,15303,28
rising,15346,15303,15346,43
climbing,15411,15346,15411,65
running,15422,15411,15422,11
rising,15465,15422,15465,43
climbing,15534,15465,15534,69
grooming,15671,15534,15671,137
sniffing,15672,15671,15672,1
walking,15788,15672,15788,116
sniffing,15818,15788,15818,30
grooming,15962,15818,15962,144
